window,r_bin_min_A,r_bin_max_A,r_bin_center_A,eps0000_matrix_atoms,eps00194_matrix_atoms,eps0000_hcp_atoms,eps00194_hcp_atoms,delta_hcp_atoms,eps0000_other_atoms,eps00194_other_atoms,delta_other_atoms,eps0000_non_fcc_fraction,eps00194_non_fcc_fraction,delta_non_fcc_fraction,eps0000_hcp_fraction,eps00194_hcp_fraction,delta_hcp_fraction,eps0000_other_fraction,eps00194_other_fraction,delta_other_fraction
initial,0.0,2.0,1.0,915,840,0,0,0.0,915,840,-75.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
initial,2.0,4.0,3.0,690,1260,0,0,0.0,615,315,-300.0,0.8913043478260869,0.25,-0.6413043478260869,0.0,0.0,0.0,0.8913043478260869,0.25,-0.6413043478260869
initial,4.0,6.0,5.0,1380,1365,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,6.0,8.0,7.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,8.0,10.0,9.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,10.0,12.0,11.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,12.0,14.0,13.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,14.0,16.0,15.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,16.0,18.0,17.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,18.0,20.0,19.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,20.0,22.0,21.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,22.0,24.0,23.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,24.0,26.0,25.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,26.0,28.0,27.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,28.0,30.0,29.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,30.0,32.0,31.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,32.0,34.0,33.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,34.0,36.0,35.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,36.0,38.0,37.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,38.0,40.0,39.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,40.0,42.0,41.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,42.0,44.0,43.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,44.0,46.0,45.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,46.0,48.0,47.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,48.0,50.0,49.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,50.0,55.0,52.5,4140,4140,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,55.0,60.0,57.5,2760,2760,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,60.0,65.0,62.5,4140,4140,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,65.0,70.0,67.5,2760,2760,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,70.0,75.0,72.5,4140,4140,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,75.0,80.0,77.5,2760,2760,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,80.0,85.0,82.5,2760,2760,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,85.0,90.0,87.5,4140,4140,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,90.0,95.0,92.5,2760,2760,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,95.0,100.0,97.5,4140,4140,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,100.0,110.0,105.0,6900,6900,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
initial,110.0,120.0,115.0,6900,6900,0,0,0.0,1380,1380,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0
initial,120.0,121.06800000000001,120.534,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,0.0,2.0,1.0,1160,1170,1,0,-1.0,1086,1130,44.0,0.9370689655172414,0.9658119658119658,0.02874300029472443,0.0008620689655172414,0.0,-0.0008620689655172414,0.9362068965517242,0.9658119658119658,0.029605069260241645
final,2.0,4.0,3.0,1314,1363,0,0,0.0,509,577,68.0,0.3873668188736682,0.42333088774761557,0.035964068873947375,0.0,0.0,0.0,0.3873668188736682,0.42333088774761557,0.035964068873947375
final,4.0,6.0,5.0,1376,1380,0,0,0.0,50,34,-16.0,0.036337209302325583,0.02463768115942029,-0.011699528142905292,0.0,0.0,0.0,0.036337209302325583,0.02463768115942029,-0.011699528142905292
final,6.0,8.0,7.0,1379,1380,0,0,0.0,0,1,1.0,0.0,0.0007246376811594203,0.0007246376811594203,0.0,0.0,0.0,0.0,0.0007246376811594203,0.0007246376811594203
final,8.0,10.0,9.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,10.0,12.0,11.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,12.0,14.0,13.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,14.0,16.0,15.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,16.0,18.0,17.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,18.0,20.0,19.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,20.0,22.0,21.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,22.0,24.0,23.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,24.0,26.0,25.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,26.0,28.0,27.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,28.0,30.0,29.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,30.0,32.0,31.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,32.0,34.0,33.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,34.0,36.0,35.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,36.0,38.0,37.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,38.0,40.0,39.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,40.0,42.0,41.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,42.0,44.0,43.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,44.0,46.0,45.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,46.0,48.0,47.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,48.0,50.0,49.0,1380,1380,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,50.0,55.0,52.5,4075,3917,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,55.0,60.0,57.5,2825,2983,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,60.0,65.0,62.5,4056,3763,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,65.0,70.0,67.5,2844,3137,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,70.0,75.0,72.5,4011,3530,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,75.0,80.0,77.5,2889,3370,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,80.0,85.0,82.5,3930,3250,0,0,0.0,0,4,4.0,0.0,0.0012307692307692308,0.0012307692307692308,0.0,0.0,0.0,0.0,0.0012307692307692308,0.0012307692307692308
final,85.0,90.0,87.5,2970,3650,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,90.0,95.0,92.5,3758,3043,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,95.0,100.0,97.5,3142,3857,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,100.0,110.0,105.0,6900,6900,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
final,110.0,120.0,115.0,6900,6900,0,0,0.0,1383,1380,-3.0,0.20043478260869566,0.2,-0.0004347826086956441,0.0,0.0,0.0,0.20043478260869566,0.2,-0.0004347826086956441
final,120.0,121.06800000000001,120.534,0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
