window,r_bin_min_A,r_bin_max_A,r_bin_center_A,eps00194_atoms,eps0000_atoms,eps0000_sigma_xx_mean_mpa,eps00194_sigma_xx_mean_mpa,delta_sigma_xx_mean_mpa,eps0000_sigma_yy_mean_mpa,eps00194_sigma_yy_mean_mpa,delta_sigma_yy_mean_mpa,eps0000_sigma_zz_mean_mpa,eps00194_sigma_zz_mean_mpa,delta_sigma_zz_mean_mpa,eps0000_abs_sigma_zz_mean_mpa,eps00194_abs_sigma_zz_mean_mpa,delta_abs_sigma_zz_mean_mpa,eps0000_sigma_vm_mean_mpa,eps00194_sigma_vm_mean_mpa,delta_sigma_vm_mean_mpa,eps0000_sigma_vm_p95_mpa,eps00194_sigma_vm_p95_mpa,delta_sigma_vm_p95_mpa,eps0000_abs_sigma_zz_p95_mpa,eps00194_abs_sigma_zz_p95_mpa,delta_abs_sigma_zz_p95_mpa,eps0000_fraction_vm_gt_120mpa,eps00194_fraction_vm_gt_120mpa,delta_fraction_vm_gt_120mpa,eps0000_fraction_abs_sigma_zz_gt_120mpa,eps00194_fraction_abs_sigma_zz_gt_120mpa,delta_fraction_abs_sigma_zz_gt_120mpa,eps0000_pe_atom_mean_ev,eps00194_pe_atom_mean_ev,delta_pe_atom_mean_ev
initial,0.0,2.0,1.0,840,915,-1884.7616012315416,237.66040396335094,2122.4220051948923,-1387.1680125013236,-1385.6583582026306,1.5096542986930217,-3234.220875047306,2012.8887876132749,5247.109662660581,3234.220875047306,2012.8887876132749,-1221.332087434031,1658.7338686587823,3033.8733895117975,1375.1395208530153,10481.83774858655,9520.770714013835,-961.067034572714,8046.980808913333,8933.558646415868,886.5778375025347,1.0,1.0,0.0,1.0,0.8523809523809524,-0.14761904761904765,-3.0467077049180324,-3.3690511785714286,-0.3223434736533961
initial,2.0,4.0,3.0,1260,690,-1547.4090615011175,-894.2111283618584,653.1979331392591,-1563.5498964449516,-575.0211932940156,988.528703150936,237.3276775558304,181.92351638299303,-55.40416117283738,237.3276775558304,181.92351638299303,-55.40416117283738,1794.833907072009,957.3299042985344,-837.5040027734746,7330.889603265009,6676.569134488635,-654.3204687763737,5812.365031570478,5416.299993682962,-396.06503788751616,1.0,1.0,0.0,0.9565217391304348,0.9761904761904762,0.019668737060041352,-3.0808078260869562,-3.296937515873016,-0.21612968978605984
initial,4.0,6.0,5.0,1365,1380,-928.9237373246874,-1184.3193301495187,-255.39559282483128,-457.06591354243176,-752.8013051793113,-295.7353916368795,611.953578056426,-5.4428938407389165,-617.3964718971648,611.953578056426,5.4428938407389165,-606.5106842156871,1367.5338030996184,1038.860840572251,-328.6729625273674,3443.8777160877794,4980.009313301264,1536.1315972134848,2892.9396070167613,2739.5833663955345,-153.3562406212268,1.0,1.0,0.0,1.0,0.945054945054945,-0.05494505494505497,-3.349930652173913,-3.343609582417583,0.006321069756330289
initial,6.0,8.0,7.0,1380,1380,-1647.8233030582692,-1267.0416094430086,380.78169361526056,-1176.788685029434,-782.2808169495617,394.5078680798723,-802.7605369658406,-116.12202804614843,686.6385089196922,802.7605369658406,116.12202804614843,-686.6385089196922,733.4522631338323,1003.0286279677035,269.57636483387125,824.2058894366511,2942.2229553174225,2118.0170658807715,992.927861104647,1374.150054267642,381.2221931629949,1.0,1.0,0.0,1.0,0.8369565217391305,-0.1630434782608695,-3.351561413043478,-3.3501984999999994,0.0013629130434784642
initial,8.0,10.0,9.0,1380,1380,-1771.422418642991,-1297.9853372301725,473.43708141281854,-1302.1740155993614,-817.7681967327021,484.4058188666593,-1095.119591835537,-197.7256258913941,897.3939659441429,1095.119591835537,197.7256258913941,-897.3939659441429,600.1879413440207,956.4458364370076,356.2578950929869,653.2643380966415,1881.3190834184575,1228.054745321816,1121.0473920376503,1175.1685415201432,54.12114948249291,1.0,1.0,0.0,1.0,0.8369565217391305,-0.1630434782608695,-3.3514095652173914,-3.351293,0.00011656521739134007
initial,10.0,12.0,11.0,1380,1380,-1773.4824700467989,-1345.0295938080424,428.4528762387565,-1304.292230404982,-865.8081217478945,438.48410865708763,-1088.0030328788189,-289.83620136341455,798.1668315154043,1088.0030328788189,289.83620136341455,-798.1668315154043,606.9606893148506,915.2512145979082,308.2905252830576,607.8687507333782,1417.795738196083,809.9269874627048,1089.0070346872942,1073.510586867367,-15.496447819927198,1.0,1.0,0.0,1.0,0.9347826086956522,-0.06521739130434778,-3.351399999999999,-3.3516166304347825,-0.00021663043478348243
initial,12.0,14.0,13.0,1380,1380,-1772.8403955361819,-1393.3401036430992,379.5002918930827,-1303.6388355007236,-915.807264774967,387.8315707257566,-1086.113633156169,-382.31246248663314,703.8011706695358,1086.113633156169,382.31246248663314,-703.8011706695358,607.8901889995161,876.022694327021,268.1325053275049,608.0592957602734,1115.990167884318,507.93087212404464,1086.5350250505119,1095.7407171119442,9.205692061432273,1.0,1.0,0.0,1.0,0.8695652173913043,-0.13043478260869568,-3.351399999999999,-3.351718804347826,-0.0003188043478270508
initial,14.0,16.0,15.0,1380,1380,-1772.8331739057555,-1437.8870844197886,334.9460894859669,-1303.6318741092316,-961.7491730824373,341.8827010267943,-1086.141608841605,-466.45317053484905,619.6884383067559,1086.141608841605,466.45317053484905,-619.6884383067559,607.8639571265855,841.3414355609331,233.47747843434752,607.8658371300103,1027.134423669148,419.2685865391377,1086.1519533392427,1113.996478352106,27.844525012863187,1.0,1.0,0.0,1.0,0.8478260869565217,-0.15217391304347827,-3.351399999999999,-3.3517443478260867,-0.00034434782608760983
initial,16.0,18.0,17.0,1380,1380,-1772.8324582486862,-1475.5811109309298,297.2513473177564,-1303.6349319167093,-1000.4380314494725,303.1969004672368,-1086.145967843754,-536.531191481666,549.614776362088,1086.145967843754,536.531191481666,-549.614776362088,607.8594016358619,813.2649425655804,205.40554092971854,607.8645976810245,1027.4930069560492,419.62840927502464,1086.1459678437543,1117.93493438359,31.788966539835656,1.0,1.0,0.0,1.0,0.782608695652174,-0.21739130434782605,-3.351399999999999,-3.3517407608695646,-0.0003407608695655817
initial,18.0,20.0,19.0,1380,1380,-1772.8319377708176,-1508.8400544403419,263.99188333047573,-1303.6349319167093,-1034.4573367397659,269.17759517694344,-1086.145967843754,-597.9502005922391,488.195767251515,1086.145967843754,597.9502005922391,-488.195767251515,607.858906774697,789.0848200464926,181.22591327179566,607.858906774698,1021.5515995166169,413.6926927419189,1086.1459678437543,1135.1671758952048,49.02120805145046,1.0,1.0,0.0,1.0,0.8478260869565217,-0.15217391304347827,-3.351399999999999,-3.351725434782608,-0.0003254347826091575
