case,case_id,eps_z,window,step,time_ps,interface_z_A,r_bin_min_A,r_bin_max_A,r_bin_center_A,r_bin_width_A,matrix_atoms_in_bin,bin_volume_A3,atom_volume_proxy_A3,sigma_xx_mean_mpa,sigma_yy_mean_mpa,sigma_zz_mean_mpa,sigma_xy_mean_mpa,sigma_xz_mean_mpa,sigma_yz_mean_mpa,abs_sigma_zz_mean_mpa,sigma_vm_mean_mpa,sigma_principal_max_mean_mpa,sigma_vm_median_mpa,sigma_vm_p90_mpa,sigma_vm_p95_mpa,sigma_vm_p99_mpa,sigma_principal_max_p95_mpa,abs_sigma_zz_p95_mpa,max_component_p95_mpa,fraction_vm_gt_120mpa,fraction_abs_sigma_zz_gt_120mpa,fraction_any_gt_120mpa,pe_atom_mean_ev,thermo_temp_K,thermo_press_bar,thermo_pxx_bar,thermo_pyy_bar,thermo_pzz_bar,stress_conversion_note,window_step_min,window_step_max,window_frame_count
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,0.0,2.0,1.0,2.0,840,23055.73536282037,27.447304003357583,237.66040396335094,-1385.6583582026306,2012.8887876132749,0.09537610287022344,422.70026598309397,-0.06241404561446047,2012.8887876132749,3033.8733895117975,2108.3994450751634,5581.385107497058,7599.169094917597,9520.770714013835,10087.812315590292,9986.61848885818,8933.558646415868,8933.558646415868,1.0,0.8523809523809524,1.0,-3.3690511785714286,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,2.0,4.0,3.0,2.0,1260,23055.73536282037,18.298202668905056,-894.2111283618584,-575.0211932940156,181.92351638299303,0.0061227194564629495,-2.822586613521896,0.035013470250954845,181.92351638299303,957.3299042985344,181.93092129435308,5282.540460242542,6445.342395107187,6676.569134488635,8285.090543071992,5625.16676797198,5416.299993682962,5928.360941391367,1.0,0.9761904761904762,1.0,-3.296937515873016,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,4.0,6.0,5.0,2.0,1365,23055.73536282037,16.89064861745082,-1184.3193301495187,-752.8013051793113,-5.4428938407389165,0.0010154973566212089,63.194987844524206,0.006506025779810853,5.4428938407389165,1038.860840572251,-2.0649351093532804,2248.164146218117,4344.412355861805,4980.009313301264,6621.620583727166,2355.1255084756417,2739.5833663955345,3852.414520823801,1.0,0.945054945054945,1.0,-3.343609582417583,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,6.0,8.0,7.0,2.0,1380,23055.73536282037,16.707054610739398,-1267.0416094430086,-782.2808169495617,-116.12202804614843,0.00044113012663222486,38.202129584656205,0.0003421135475611834,116.12202804614843,1003.0286279677035,-114.85539017059376,1475.279686896431,2487.563017629682,2942.2229553174225,4150.494361009697,1111.431537879766,1374.150054267642,2886.547397109735,1.0,0.8369565217391305,1.0,-3.3501984999999994,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,8.0,10.0,9.0,2.0,1380,23055.73536282037,16.707054610739398,-1297.9853372301725,-817.7681967327021,-197.7256258913941,4.580819147944837e-05,25.640306799899022,-0.00020286006003700062,197.7256258913941,956.4458364370076,-197.12843171513788,1045.3075063357473,1791.4420668116848,1881.3190834184575,2574.831517197675,586.0112103796275,1175.1685415201432,2516.074854569451,1.0,0.8369565217391305,1.0,-3.351293,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,10.0,12.0,11.0,2.0,1380,23055.73536282037,16.707054610739398,-1345.0295938080424,-865.8081217478945,-289.83620136341455,2.2411402970537853e-06,9.483352361538087,-0.00014757893691330276,289.83620136341455,915.2512145979082,-289.7509783988438,965.3045357878937,1337.7585830294697,1417.795738196083,1692.3079097160644,424.8356155683336,1073.510586867367,2300.034380404731,1.0,0.9347826086956522,1.0,-3.3516166304347825,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,12.0,14.0,13.0,2.0,1380,23055.73536282037,16.707054610739398,-1393.3401036430992,-915.807264774967,-382.31246248663314,1.152383980450825e-07,-0.22894809542756664,-7.166123123898788e-05,382.31246248663314,876.022694327021,-382.3124106411293,943.0703573691941,1087.921667395377,1115.990167884318,1212.2958551878173,304.8398895902769,1095.7407171119442,2157.1665885878733,1.0,0.8695652173913043,1.0,-3.351718804347826,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,14.0,16.0,15.0,2.0,1380,23055.73536282037,16.707054610739398,-1437.8870844197886,-961.7491730824373,-466.45317053484905,-5.670992789787548e-08,-0.5054017105344767,-1.4483281952850373e-05,466.45317053484905,841.3414355609331,-466.4529075928039,866.38751787351,1001.051990779797,1027.134423669148,1044.7772904427877,190.2500804054544,1113.996478352106,2039.886789984684,1.0,0.8478260869565217,1.0,-3.3517443478260867,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,16.0,18.0,17.0,2.0,1380,23055.73536282037,16.707054610739398,-1475.5811109309298,-1000.4380314494725,-536.531191481666,-8.901007787426847e-09,1.5535039258716887,7.890601394974189e-06,536.531191481666,813.2649425655804,-536.5286214714963,811.9879264462126,1022.4824790593203,1027.4930069560492,1037.5959043734028,83.9826178340738,1117.93493438359,1950.1465553992145,1.0,0.782608695652174,1.0,-3.3517407608695646,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,18.0,20.0,19.0,2.0,1380,23055.73536282037,16.707054610739398,-1508.8400544403419,-1034.4573367397659,-597.9502005922391,1.1088707863359842e-08,1.4105466725838494,4.539581172015709e-06,597.9502005922391,789.0848200464926,-597.9480163137165,779.656091836483,1007.1506700584777,1021.5515995166169,1024.0973029813736,-37.518890565681474,1135.1671758952048,1886.4964970989058,1.0,0.8478260869565217,1.0,-3.351725434782608,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
eps00194,F0_planar_100A_comm_eps00194_cpu_zhi200,0.00194,initial,0,0.0,50.0,20.0,22.0,21.0,2.0,1380,23055.73536282037,16.707054610739398,-1540.380314967996,-1066.7018081609133,-656.3915798757993,-4.728502096671704e-09,-0.48453693877899257,-1.9908136733755204e-07,656.3915798757993,766.212536987141,-656.3913142887333,756.9120399065766,981.8301061397607,997.0733013979838,1000.416660256385,-156.2780433177732,1148.6345407445042,1835.6856258963708,1.0,1.0,1.0,-3.351705543478261,286.81307,-1989.0424,-2606.1063,-5881.8638,2520.8428,sigma_mpa = -sum(c_stress_atom_virial)/(Lx*Ly*bin_width)*0.1; per-atom percentiles use bin_volume/count proxy,,,
