r_A,above_apex,vm_control_MPa,vm_field_MPa,vm_of_difference_MPa,diff_of_vm_MPa,max_RSS_MPa,system,d_sigma_xz_MPa,n_atoms
2.0,False,2215.075,2217.103,51.571,2.028,25.492,(1-1-1)[101],-23.002,1704
6.0,False,1188.143,1202.421,108.321,14.278,60.638,(111)[1-10],-60.638,2438
10.0,False,1724.54,1743.624,104.133,19.085,59.16,(111)[1-10],-59.16,2402
14.0,False,848.217,880.156,69.46,31.938,38.741,(111)[1-10],-38.741,2426
18.0,False,845.004,834.877,29.476,-10.127,16.32,(111)[1-10],-16.32,1917
22.0,False,849.934,844.095,10.799,-5.84,5.651,(1-1-1)[101],4.002,2154
26.0,True,105.967,105.12,6.896,-0.847,3.848,(111)[1-10],3.848,2783
30.0,True,185.467,184.362,7.236,-1.105,4.039,(111)[1-10],4.039,2360
34.0,True,156.631,156.779,4.535,0.148,2.594,(111)[1-10],2.594,1940
38.0,True,28.3,29.291,6.942,0.991,3.924,(111)[1-10],3.924,2720
42.0,True,7.857,10.952,5.33,3.095,3.021,(111)[1-10],3.021,2808
46.0,True,168.146,167.382,1.468,-0.764,0.558,(111)[01-1],-0.014,1968
50.0,True,141.645,140.765,8.887,-0.879,5.042,(111)[1-10],5.042,2244
54.0,True,5.657,8.804,4.145,3.147,2.354,(111)[1-10],2.354,2808
58.0,True,26.715,27.557,3.356,0.842,1.901,(111)[1-10],1.901,2678
62.0,True,42.641,42.821,4.393,0.18,2.497,(111)[1-10],2.497,1534
66.0,True,4.784,7.632,3.251,2.848,1.846,(111)[1-10],1.846,2808
70.0,True,4.75,7.171,2.815,2.42,1.614,(111)[1-10],1.614,2808
74.0,True,4.672,7.004,2.774,2.332,1.597,(111)[1-10],1.597,1404
78.0,True,4.363,7.041,3.169,2.678,1.823,(111)[1-10],1.823,2808
82.0,True,3.763,7.259,4.07,3.495,2.335,(111)[1-10],2.335,2808
86.0,True,3.1,7.486,5.0,4.385,2.85,(111)[1-10],2.85,2808
90.0,True,2.66,7.316,5.37,4.656,3.058,(111)[1-10],3.058,1404
94.0,True,2.349,6.855,5.354,4.506,3.061,(111)[1-10],3.061,2808
98.0,True,1.938,6.224,5.046,4.286,2.89,(111)[1-10],2.89,2808
102.0,True,1.551,5.94,4.987,4.389,2.85,(111)[1-10],2.85,1404
106.0,True,1.203,5.841,5.146,4.638,2.934,(111)[1-10],2.934,2808
110.0,True,0.91,5.432,4.99,4.522,2.841,(111)[1-10],2.841,2808
