x_center_A,z22,z26,z30,z34,z38,z42,z46,z50,z54,z58,z62,z66,z70,z74,z78,z82,z86,z90,z94,z98,z102,z106,z110,z114,z118
2.0,284.69,40.51,-149.11,-184.18,-138.45,-331.82,-518.21,-361.09,781.94,1139.72,1095.09,1093.10,543.00,274.65,-406.26,-392.29,-163.31,-274.95,-155.61,-108.79,-117.63,-170.11,-156.65,-85.54,-7.11
6.0,140.17,186.65,-32.45,-59.33,-97.11,-180.28,-113.24,-21.29,676.25,540.95,575.93,1402.46,1238.92,-610.88,-829.41,-550.02,-244.58,-277.21,-138.08,-85.67,-130.44,-10.00,-163.68,-34.11,-59.99
10.0,-118.20,-53.11,43.85,56.78,56.48,240.76,488.18,413.20,-23.57,-33.61,-309.73,-138.68,-373.44,-213.32,377.69,138.52,-58.93,-99.74,-158.48,-54.39,-113.82,-105.17,-35.69,12.65,-71.94
14.0,-285.69,180.30,259.28,307.51,286.60,253.41,203.68,225.58,67.29,-156.63,21.08,-276.34,-31.97,-7.18,72.04,228.65,58.31,-43.49,-21.35,-54.26,-27.35,-112.51,-28.03,30.78,-23.24
18.0,612.20,384.57,200.70,111.51,218.93,114.52,72.33,167.23,36.32,4.67,-13.84,-275.49,-37.39,222.33,81.22,83.34,44.97,-2.32,11.36,-125.18,-32.60,-126.27,-24.07,26.64,-11.76
22.0,186.67,35.09,188.99,210.91,225.26,249.77,227.97,92.17,24.52,75.30,-55.20,-55.13,34.15,152.66,154.50,98.58,13.93,38.26,101.45,54.40,123.04,30.94,77.71,56.77,-10.90
26.0,-165.76,237.44,242.90,188.20,169.19,120.21,206.93,51.73,14.01,18.08,-64.53,-89.06,-85.92,-83.19,145.20,88.94,88.82,20.29,44.71,-31.82,-43.26,46.72,-38.31,-40.23,16.27
30.0,80.00,220.47,165.43,163.87,201.26,180.48,152.54,-47.70,-6.24,89.60,-48.68,-65.02,-32.18,-10.77,22.70,14.88,42.49,-33.66,-59.92,-11.16,-15.38,-53.35,47.81,-2.32,125.10
34.0,85.04,6.28,97.01,47.36,186.41,128.85,110.28,16.10,55.61,-57.73,-89.16,-123.70,-51.39,33.16,64.65,31.83,44.86,124.21,-25.69,17.37,53.13,146.64,117.47,-11.54,52.44
38.0,186.48,43.75,98.82,90.47,170.38,169.57,150.69,31.22,29.28,-13.23,17.46,-31.86,18.02,41.11,35.46,106.76,18.69,67.38,82.12,22.87,40.35,39.61,112.68,61.33,-59.39
