frame,step,n_atoms,hcp_matrix_atoms,dxa_total_length_A,n_segments,lower_n_segments,lower_length_A,lower_mean_x_A,lower_mean_z_A,lower_split_width_A,lower_bx_sum,upper_n_segments,upper_length_A,upper_mean_x_A,upper_mean_z_A,upper_split_width_A,upper_bx_sum
0,0,300124,281,360.7295134506677,4,2,179.8736980560107,155.11006130147123,49.4244944145021,9.368963260184046,2.8600406646728516,2,180.85581539465704,123.63794347421036,72.58597774274061,8.276467204865028,-2.86004102230072
1,1500,300124,317,361.75887085881175,4,2,181.13241612895757,153.08048361882732,49.741084499629665,10.22293345202172,2.8602774143218994,2,180.6264547298542,122.29458395663106,73.01850175374335,8.421002628921585,-2.860277533531189
2,3000,300124,322,360.2898812319994,4,2,179.9882717334795,153.90837620360884,50.3674923776361,9.115161764454541,2.860083818435669,2,180.3016094985199,119.82775426944399,73.52673352054671,9.978955719849452,-2.8600839376449585
3,4500,300124,308,359.620296371653,4,2,179.95158733974552,152.33401953580054,50.21579193137907,8.782296267948908,2.860376238822937,2,179.66870903190747,120.05430199288125,73.46984586239756,9.627739772946398,-2.8603763580322266
4,6000,300124,309,360.27237633674713,4,2,180.406460653514,152.5673150969022,50.681365613032284,9.995063277440579,2.860232353210449,2,179.86591568323314,119.15370915657648,73.72798598036809,8.540768036723733,-2.86023211479187
5,7500,300124,319,360.594248791223,4,2,180.29513548732194,154.07651990401683,50.017931411567986,8.866581535970482,2.860239028930664,2,180.29911330390104,116.87685940272831,73.30697790584895,9.896509457919663,-2.8602393865585327
6,9000,300124,321,359.3335304361989,4,2,179.74211911225865,152.8329229713263,50.24933220724213,8.975615307559366,2.860472798347473,2,179.59141132394026,115.73853218116948,73.52547855973766,9.777628101861623,-2.8604724407196045
7,10500,300124,262,360.63700986879553,4,2,180.67444647074097,147.8781381553545,50.115738808783206,8.228907412961519,2.860562324523926,2,179.96256339805456,115.18508161286925,73.05286579141452,7.87911509933069,-2.860562324523926
8,12000,300124,313,360.32381939949386,4,2,179.4311547912928,147.38312188137374,49.39964303514118,9.051221747879026,2.860881805419922,2,180.89266460820107,112.44565427633447,72.49040605050328,9.388779786507598,-2.8608819246292114
9,13500,300124,330,361.01855627603004,4,2,180.02739397735684,149.73808433875107,49.42380735664847,9.694821792779038,2.860209822654724,2,180.99116229867326,114.27052395459725,72.53097547581021,8.719744640954815,-2.8602101802825928
10,15000,300124,318,360.670461540515,4,2,180.756549685503,151.04577714936258,49.156736359787615,8.694096765979083,2.8599777221679688,2,179.91391185501197,111.397936611142,72.19968250018175,10.23566459568255,-2.859977960586548
11,16500,300124,296,360.37770000863287,4,2,179.8621188203992,150.8470250618914,49.73024478266485,9.29656773320761,2.8608511686325073,2,180.51558118823365,111.42317471581534,72.55762312733442,8.33409650783318,-2.8608510494232178
12,18000,300124,317,360.6845625929902,4,2,179.82017201581638,151.03131226724224,49.54264805163454,8.841760221477642,2.8600988388061523,2,180.86439057717376,109.31130553094826,72.23688648739767,9.576859819450647,-2.8600990772247314
13,19500,300124,329,360.01956642537846,4,2,180.22087518270223,153.52678648962018,49.50150246887216,9.609064480431044,2.86039137840271,2,179.79869124267617,107.94598192611731,72.75188493546062,9.577097601636396,-2.860391855239868
14,21000,300124,342,368.46047652791617,5,3,188.22595866701633,137.39846594807798,49.604351373439094,76.98831252318074,3.339249402284622,2,180.23451786089987,110.34452613726098,73.35449069003303,10.04269359909783,-2.860374927520752
15,22500,300124,317,360.67961573202797,4,2,180.18266914687428,155.53265640917138,50.304619604315704,9.343840776522512,2.86035418510437,2,180.49694658515367,107.1636820148196,73.21157877597227,8.615965907022286,-2.8603540658950806
16,24000,300124,332,359.52773015547075,4,2,179.77090014495585,156.2661896662555,50.41136880957869,9.640281101899461,2.8606292009353638,2,179.75683001051496,114.15543555928438,73.82441679834321,9.444459903064157,-2.860629081726074
17,25500,300124,318,360.11746074179894,4,2,179.8132910378915,151.38965857240342,50.03466311415795,9.26499859848434,2.860275983810425,2,180.30416970390746,113.70828176320732,73.35475538524234,9.411350172451137,-2.8602763414382935
18,27000,300124,325,360.34150186395766,4,2,180.05888223708666,151.31319927434788,50.285108728432974,9.387360739852625,2.860391616821289,2,180.282619626871,113.40640418366478,73.49100564924487,9.752660770308509,-2.8603912591934204
19,28500,300124,335,360.881154983741,4,2,180.34932476712328,149.18070537313636,50.06062133126721,9.227634487021277,2.860334634780884,2,180.53183021661778,109.60272793805991,73.12827779425385,9.917585340686557,-2.860334634780884
20,30000,300124,311,360.1571239384086,4,2,180.47951241021704,148.59740669881404,49.590106966125056,9.788420945732241,2.860469102859497,2,179.6776115281915,111.1670336959764,72.64574407285218,8.814381582384101,-2.860469341278076
21,31500,300124,274,362.1405100204699,4,2,180.72917834254747,144.5207772674818,49.389721738321846,8.639899407205519,2.8607665300369263,2,181.41133167792242,111.57003305772643,72.49523484213555,7.821174984922237,-2.8607665300369263
22,33000,300124,317,362.8416427771408,4,2,180.08387116387908,143.9507941239532,49.30206205702453,8.92375322839689,2.860369324684143,2,182.75777161326172,110.76604205829067,72.07034635451008,8.493953413805315,-2.8603694438934326
23,34500,300124,283,360.3422160735492,4,2,179.78940264259342,148.97605130991377,49.65736499973606,8.589361076101056,2.8602970838546753,2,180.55281343095578,113.8206946558512,72.49528226124303,8.55249648346529,-2.8602969646453857
24,36000,300124,260,364.83313861270994,4,2,183.68821916762215,147.84393451341808,49.44822220859422,7.003121496268022,2.8605912923812866,2,181.1449194450878,115.97179370360058,72.3569796628861,7.88818946848275,-2.8605916500091553
25,37500,300124,293,360.52704811053286,4,2,179.66374925826455,146.83859912880652,49.57991687303684,8.672351718527011,2.8605557680130005,2,180.8632988522683,117.06767380748748,72.67761221026282,8.91843947382172,-2.860555648803711
26,39000,300124,297,365.7181120376822,4,2,179.90565263402542,148.11171764744955,50.06840385791594,8.69434428594488,2.8605157136917114,2,185.8124594036568,117.2383726747818,73.14091573976918,7.716768530842401,-2.860515594482422
27,40500,300124,285,361.08327850963514,4,2,180.75331119918803,147.86684840450516,50.152668182276884,8.317373325610419,2.860370635986328,2,180.3299673104471,114.66280971754965,73.277345695649,8.541529410686621,-2.8603711128234863
28,42000,300124,341,362.4364764663859,4,2,180.83861821459996,149.3102918591815,50.2083720807732,9.330256955583081,2.8602484464645386,2,181.5978582517859,112.59566380398356,73.7436302819971,10.219684712577916,-2.860248565673828
29,43500,300124,306,360.97074712028603,4,2,180.25357001577487,144.44674959514438,50.11965187860274,8.20919571562959,2.8603066205978394,2,180.7171771045112,112.6858411294388,73.3810145141691,9.521829112262594,-2.860306739807129
30,45000,300124,310,359.6058285930674,4,2,180.14410667437338,147.31747696762446,50.32794041282357,9.56652724737387,2.8604825735092163,2,179.46172191869402,111.86369166143571,73.42914247166847,9.042352732108057,-2.860482931137085
31,46500,300124,321,360.8758101441195,4,2,180.8947576447831,145.85303774470438,50.10209838338449,10.02058083259601,2.8604787588119507,2,179.98105249933639,111.64515619901978,73.30507977865814,9.221143356174494,-2.860478639602661
32,48000,300124,278,360.50868516354063,4,2,180.92042681711666,144.06256377686702,49.60450111385572,8.440750659460122,2.8602724075317383,2,179.58825834642397,111.05758965203032,72.73488890943995,8.675072149654781,-2.8602724075317383
33,49500,300124,309,360.23517618619496,4,2,180.56783567381657,145.82379654078494,49.50357775719428,8.936197986742826,2.8604326248168945,2,179.66734051237842,112.38722509754179,72.4924313520211,9.81339301414367,-2.8604326248168945
34,51000,300124,293,362.0872200137231,4,2,181.05542619147235,147.26994865565908,49.50359113088476,8.378151031073514,2.8605635166168213,2,181.03179382225076,112.83994220872587,72.21674536345337,9.780256944477031,-2.8605635166168213
35,52500,300124,270,360.23900316302945,4,2,180.07759043568961,149.9324736161527,49.617100382445244,8.067959420474835,2.8605685234069824,2,180.16141272733978,114.56015755176736,72.44805526180104,8.963741465166748,-2.860568642616272
36,54000,300124,353,359.70235923259196,4,2,180.0383706273713,150.04372436353958,49.374859273473284,9.508531496837918,2.86044442653656,2,179.66398860522068,114.05948110077183,72.39942188718223,10.740516752448187,-2.860444664955139
37,55500,300124,271,359.2551740438248,4,2,179.67074404688282,149.79786748229324,49.61884871097596,7.877772573893452,2.8604685068130493,2,179.58442999694194,114.12674059246139,72.52684818210074,9.072537825084211,-2.8604685068130493
38,57000,300124,304,361.069108541521,4,2,180.0181751874054,152.19687981221335,49.99999138746965,8.919625848108296,2.860572576522827,2,181.05093335411564,110.13731368979009,73.10421674319306,10.132639890063302,-2.8605728149414062
39,58500,300124,289,359.95185764750335,4,2,179.63033759385,150.42626976539586,50.14438903400041,8.81344508016167,2.860262870788574,2,180.32152005365333,109.41948015528106,73.22584974584396,8.379027384154085,-2.8602631092071533
40,60000,300124,316,359.51448932635384,4,2,179.7508344915556,152.57608654306853,50.246292018155486,8.719140341441886,2.8605144023895264,2,179.76365483479822,107.9812107837493,73.5164874049263,9.780765723862089,-2.8605146408081055
