step,delta_x_lower_A,delta_hcp,delta_dxa_length_A,delta_x_upper_A
0,-2.6160527565492657,-8,-0.11909115158050554,-2.18986781201005
1500,-4.496148278686633,-19,-0.3985821612600944,-7.484492322124012
3000,-5.142501226542578,-17,1.3308244654236887,-8.165935050626032
4500,-3.9807591816441743,-4,1.8381172392995495,-7.218060818673322
6000,-2.988982036362273,-21,5.581935166657104,-6.5726386116975135
7500,-0.6240973532651708,1,1.2248085938943518,-5.168925622105803
9000,1.7662305811685997,-24,-0.4069792882573324,-3.988808698053788
10500,3.0884650988119517,21,-0.045944842748667725,-4.818774103416928
12000,3.357340168316142,6,-0.01807479484051555,-4.737047087433524
13500,2.312500573483703,-34,-0.054061572667649216,-6.869728297714985
15000,3.0543631407836926,5,-0.5325310388709568,-6.594216501398236
16500,2.8047311973892306,-34,0.7416755594575761,-5.58537776472852
18000,2.8385777613720222,17,-0.6166786656518752,-3.871445101569833
19500,0.5136742513858223,-8,0.5147960550088442,-5.037796823761639
21000,14.367786682047779,-8,-7.003537634353222,-9.113052449849746
22500,-2.11823923554752,21,0.6509513733862491,-9.181192869148703
24000,-4.446480060845829,-11,1.154884705167774,-15.297758884586102
25500,-3.2464039974116474,3,1.9674761572897523,-15.71507774199965
27000,-2.8668225132695113,-14,-0.15178180854718448,-15.420736106172328
28500,-2.8605638290939055,-28,-1.1670807866973973,-9.039817242248617
30000,0.7437709739328398,-43,0.6123565941276752,-7.316006723184032
31500,4.22135504375791,44,-1.7627625997067184,-2.718596926460876
33000,2.1605821182272678,-34,-2.6054819978739943,2.22412677830755
34500,-0.563399988180862,16,0.8375134647605478,0.8165625317687386
36000,-0.022095713784239024,47,-4.7723483537755556,-1.131371898912036
37500,-1.0320300909290836,25,-0.3282436938422393,-1.629192630659844
39000,-1.9637121108266058,-45,-4.759479032359252,-5.209389794353029
40500,-2.8805172103261043,79,0.9248136265651397,-3.2694382790786563
42000,-3.326875151139461,-22,-2.491667540169317,-1.5655254293586012
43500,-0.5628129939896382,-12,0.10700764046782751,-2.757839336272326
45000,-1.5770036917646735,0,1.3090292041333669,-3.3566731766293145
46500,-3.189079166802003,-12,-0.6623906380405629,-3.0698520489916064
48000,-1.5424552712031527,40,-0.2844798072249546,-2.5002865757095663
49500,-1.6941888047341536,-10,0.2656944449591947,-4.803322847331259
51000,-3.3311566166513558,8,-1.6919017012223776,-3.787442086452657
52500,-3.06018131304117,62,0.05175922069133776,-5.24932369690498
54000,-1.9278746796059067,-9,0.04514578455382434,-5.972128641491523
55500,-1.183515041080284,22,1.561963791312678,-6.550279385599978
57000,-2.131676814358059,20,-0.7119166411498554,-4.077020331777717
58500,-0.02744270308232899,46,1.4633552674650332,-4.669124897680874
60000,-0.8265896416735927,20,2.43396909767074,-5.376878862653726
