r_lo_A,r_hi_A,eps0000_sxx,eps0000_syy,eps0000_szz,eps0000_sxz,eps0000_vm,eps0000_natoms,eps00194_sxx,eps00194_syy,eps00194_szz,eps00194_sxz,eps00194_vm,eps00194_natoms,delta_sxx,delta_syy,delta_szz,delta_sxz,delta_vm,delta_natoms
0.0,5.0,-1062.140,-1402.974,-724.099,-63.355,598.078,1355.400,-978.430,-1458.802,-547.999,12.336,789.463,1363.250,83.710,-55.828,176.100,75.691,191.384,1363.250
5.0,10.0,563.076,226.956,-435.820,-88.743,893.671,1527.500,596.879,263.404,-371.750,-43.880,855.694,1541.150,33.803,36.448,64.070,44.863,-37.977,1541.150
10.0,15.0,592.446,304.716,-366.567,-146.255,889.230,1449.150,660.193,368.181,-257.750,-133.757,844.697,1442.950,67.747,63.465,108.817,12.499,-44.533,1442.950
15.0,20.0,546.710,290.085,-378.337,-210.073,903.642,1437.900,604.365,341.505,-292.673,-179.824,857.314,1435.750,57.655,51.420,85.663,30.249,-46.328,1435.750
20.0,25.0,560.770,303.821,-345.965,-309.748,971.102,1439.450,600.531,331.490,-307.816,-257.275,922.858,1437.250,39.761,27.670,38.149,52.473,-48.244,1437.250
25.0,30.0,373.841,81.342,-387.772,-439.510,1011.112,1439.950,467.610,71.697,-361.790,-338.543,927.424,1437.050,93.769,-9.645,25.982,100.967,-83.687,1437.050
30.0,35.0,654.912,397.677,-391.376,-357.677,1129.400,1480.300,672.285,540.610,-307.279,-273.718,1035.695,1491.000,17.373,142.933,84.097,83.959,-93.705,1491.000
35.0,40.0,1446.766,744.239,-338.613,-178.927,1588.361,1557.850,1431.434,771.765,-343.671,-89.982,1561.880,1536.750,-15.332,27.526,-5.058,88.945,-26.480,1536.750
40.0,45.0,1610.703,1080.536,-383.648,67.146,1792.958,1432.500,1554.982,813.593,-357.084,129.141,1684.667,1446.050,-55.721,-266.942,26.563,61.995,-108.291,1446.050
45.0,50.0,1347.912,1014.137,-273.495,100.296,1493.103,1392.250,1230.519,706.721,-357.588,182.093,1436.688,1396.550,-117.393,-307.416,-84.093,81.798,-56.415,1396.550
50.0,55.0,408.028,487.157,-276.993,154.085,775.207,1477.950,406.477,304.323,-350.943,205.316,795.746,1485.000,-1.550,-182.833,-73.950,51.231,20.538,1485.000
55.0,60.0,719.557,264.079,-254.823,190.264,906.460,1495.400,737.295,316.473,-256.477,204.836,933.994,1502.400,17.738,52.393,-1.654,14.572,27.534,1502.400
60.0,65.0,755.724,395.102,-230.574,175.314,916.164,1430.750,774.388,432.774,-181.010,178.453,893.668,1420.400,18.664,37.671,49.565,3.139,-22.496,1420.400
65.0,70.0,688.118,416.304,-146.741,183.836,803.326,1435.150,724.747,451.328,-100.276,169.857,785.111,1425.400,36.630,35.023,46.465,-13.979,-18.215,1425.400
70.0,75.0,664.735,440.164,-62.130,193.232,726.325,1583.550,695.014,469.551,3.145,147.538,662.440,1610.650,30.279,29.386,65.276,-45.694,-63.885,1610.650
75.0,80.0,575.905,420.719,-16.029,184.181,619.981,1539.550,560.210,413.872,-60.948,157.570,625.170,1519.250,-15.695,-6.847,-44.918,-26.611,5.189,1519.250
80.0,85.0,463.724,371.844,-78.021,161.484,574.792,1444.550,494.531,394.237,-18.930,126.982,520.171,1455.200,30.807,22.392,59.090,-34.502,-54.621,1455.200
85.0,90.0,422.334,375.124,-11.467,135.641,474.476,1442.350,429.107,374.243,-32.164,105.738,473.303,1430.950,6.773,-0.880,-20.698,-29.903,-1.172,1430.950
90.0,95.0,368.681,365.380,-22.768,84.696,416.499,1461.100,372.017,354.048,-13.796,93.942,410.752,1464.150,3.336,-11.332,8.973,9.246,-5.748,1464.150
95.0,100.0,299.753,312.709,-68.022,67.545,392.273,1499.350,320.980,344.876,-17.273,66.669,369.328,1476.100,21.227,32.167,50.749,-0.876,-22.945,1476.100
100.0,105.0,291.134,320.936,-37.164,73.746,367.107,1509.450,263.264,298.873,-102.681,66.316,401.756,1542.900,-27.870,-22.063,-65.517,-7.431,34.650,1542.900
105.0,110.0,307.892,348.335,13.745,46.004,326.195,1547.650,313.905,349.038,14.530,44.438,327.569,1561.600,6.013,0.703,0.785,-1.566,1.374,1561.600
110.0,115.0,359.783,392.748,84.389,39.469,301.131,1573.200,319.855,359.049,37.243,28.308,308.036,1564.250,-39.928,-33.698,-47.146,-11.160,6.905,1564.250
115.0,120.0,291.945,320.504,-44.367,43.705,359.523,1478.200,269.927,303.606,-57.676,35.015,350.955,1468.400,-22.019,-16.899,-13.309,-8.691,-8.568,1468.400
120.0,125.0,267.576,297.145,-102.538,70.824,404.785,1442.800,265.640,305.084,-81.416,18.288,369.725,1449.100,-1.936,7.939,21.122,-52.535,-35.060,1449.100
125.0,130.0,282.096,308.570,-71.181,53.637,378.799,1423.900,239.454,277.803,-124.357,31.430,388.258,1415.200,-42.642,-30.766,-53.176,-22.207,9.460,1415.200
130.0,135.0,256.391,273.555,-138.866,24.543,406.342,1454.000,261.325,298.051,-67.353,18.455,349.958,1461.900,4.934,24.496,71.514,-6.088,-56.384,1461.900
135.0,140.0,236.874,276.219,-132.082,28.345,393.196,1453.250,235.056,281.093,-95.792,8.488,356.409,1454.300,-1.817,4.875,36.290,-19.857,-36.787,1454.300
140.0,145.0,274.661,312.986,-34.473,-1.198,329.977,1503.050,256.519,307.708,-55.616,20.075,342.397,1512.450,-18.142,-5.278,-21.143,21.274,12.420,1512.450
145.0,150.0,257.774,309.903,-64.267,7.103,351.236,1710.550,259.600,292.138,-66.412,5.841,343.588,1707.950,1.826,-17.765,-2.145,-1.262,-7.648,1707.950
150.0,155.0,230.599,283.110,-81.429,0.176,341.327,1498.300,189.087,240.656,-201.034,31.048,421.739,1499.050,-41.512,-42.454,-119.605,30.872,80.412,1499.050
155.0,160.0,223.870,276.242,-106.211,-3.887,359.205,1440.200,240.549,280.125,-126.528,5.804,388.510,1437.400,16.679,3.884,-20.317,9.691,29.305,1437.400
