frame,step,tau_nominal_MPa,n_segments,dxa_total_len_A,n_interface_segments,n_other_segments,x_plus,z_plus,len_plus,xmin_plus,xmax_plus,x_minus,z_minus,len_minus,xmin_minus,xmax_minus,xu_plus,xu_minus,s_A,s_dev_A
0,0,0.0,4,257.9836370086847,0,0,144.114515635915,49.521559870647565,128.99138891726517,140.21660473061442,148.01242654121558,119.44619365418033,72.51431079385047,128.99224809141955,114.94201804083582,123.95036926752485,144.114515635915,119.44619365418033,24.668321981734678,-14.063671611751033
1,2000,0.0,5,272.23615910365226,0,1,141.87622047918157,49.997762439872545,131.54080158155546,136.5712353438024,147.18120561456075,99.38924745591318,72.7909001194365,130.1115407577384,94.39845272447728,104.38004218734908,141.87622047918157,99.38924745591318,42.48697302326839,1.429864430361512
2,4000,0.0,4,259.7811255871289,0,0,133.12623535945863,50.58502039321677,129.79225206395694,128.71334804472207,137.53912267419523,87.24671795601988,73.73012368963438,129.988873523172,82.0477090984338,92.445726813606,133.12623535945863,87.24671795601988,45.879517403438754,2.4972938111107084
3,6000,0.014575338308623289,4,260.0160792684251,0,0,131.44031402336333,50.21966293657036,129.81976813935472,125.76706945526377,137.11355859146292,81.40016127700972,73.28188852407135,130.19631112907038,75.66430069085786,87.13602186316159,131.44031402336333,81.40016127700972,50.04015274635361,4.3328141546044066
4,8000,0.3875091767428495,4,260.32247594086937,0,0,132.8945081549778,49.44321025452596,130.07562022230252,127.96611804630749,137.82289826364814,83.01526496145136,72.25934482889437,130.24685571856688,78.56416776280486,87.46636216009789,132.8945081549778,83.01526496145136,49.87924319352645,1.8467896023560755
5,10000,1.7394546306435006,4,260.91941604381753,0,0,139.78197575134485,49.74959056942804,130.10370475067603,135.29765975501067,144.266291747679,85.20177697135888,72.46264565010372,130.81571129314153,80.3673500624243,90.03620388029348,139.78197575134485,85.20177697135888,54.58019877998596,4.2226301893944225
6,12000,4.5565945099676535,4,259.987828135607,0,0,136.05137735838963,50.413895847235324,129.63516808765775,131.7795996771326,140.32315503964668,77.93222562582552,73.39796188828218,130.35266004794923,73.23779445584569,82.62665679580536,136.05137735838963,77.93222562582552,58.119151732564106,5.436468142551398
7,14000,9.1020490554222,4,259.98413151675504,0,0,138.39390545525592,50.44899598856934,129.8704066589173,134.25468487569987,142.53312603481203,77.23079569092324,73.49247420951848,130.11372485783772,72.54416281069061,81.9174285711559,138.39390545525592,77.23079569092324,61.163109764332674,6.155311174898799
8,16000,15.375818267007133,4,260.9173167252311,0,0,137.55126497729105,49.97018713601457,130.44181924049622,133.07986061066308,142.022669343919,75.06541014054766,72.69331907893122,130.4754974847349,69.95730890535135,80.17351137574394,137.55126497729105,75.06541014054766,62.4858548367434,5.152941247888364
9,18000,23.114781904015576,4,260.17404822767094,0,0,136.86756168980403,49.56189782647783,129.66036860387067,132.89148283297953,140.8436405466285,82.46122358017644,72.1983615447709,130.51367962380027,78.2620621661615,86.66038499419142,136.86756168980403,82.46122358017644,54.4063381096276,-5.251690478648605
