frame,step,tau_nominal_MPa,n_segments,dxa_total_len_A,n_interface_segments,n_other_segments,x_plus,z_plus,len_plus,xmin_plus,xmax_plus,x_minus,z_minus,len_minus,xmin_minus,xmax_minus,xu_plus,xu_minus,s_A,s_dev_A
0,0,0.0,4,359.46382541687086,0,0,152.57253617960126,50.23734024291639,179.65496488017675,148.15183218697368,156.99324017222884,107.72956551093955,73.5092069725383,179.80886053669406,103.13806690281464,112.90056364736233,152.57253617960126,107.72956551093955,44.84297066866171,-0.4724334694212331
1,2000,0.0,4,362.4688455840406,0,0,149.4169590873298,50.10435838113186,181.15798412637196,145.17551763998048,153.65840053467912,106.78203379081343,73.3381956151463,181.3108614576686,101.8693394679632,111.69472811366366,149.4169590873298,106.78203379081343,42.63492529651636,-1.453760370823474
2,4000,0.0,4,360.5705227072108,0,0,151.3453533600791,50.31086564654847,179.6992608680585,146.95617160739494,155.7345351127633,105.80882181341644,73.47887965711999,180.87126183915228,100.36617758169689,111.25146604513603,151.3453533600791,105.80882181341644,45.536531546662644,2.6745643500659213
3,6000,0.014575338308623289,4,359.77310231086193,0,0,149.11519967076597,49.829157540772414,180.03408859375338,144.87437250767147,153.89050472362652,106.42979648926405,72.82509272687051,179.73901371710855,101.25165534837998,111.60793763014813,149.11519967076597,106.42979648926405,42.685403181501925,1.0501544556483111
4,8000,0.3875091767428495,4,361.2689801072414,0,0,151.00657808421528,49.568763924978036,180.96331011612762,146.19952824179876,155.8136279266318,109.43898705230556,72.54457567299818,180.30566999111386,105.64894012825809,113.70590563487228,151.00657808421528,109.43898705230556,41.567591031909714,1.1590607767992083
5,10000,1.7394546306435006,4,362.5017436914614,0,0,148.85955423216942,49.384552024096244,181.48589132801015,144.0412546869003,153.6778537774386,112.2291354786633,72.33641799576219,181.01585236345124,107.75617611117868,116.70209484614792,148.85955423216942,112.2291354786633,36.63041875350612,-2.551393030861277
6,12000,4.5565945099676535,4,360.84155562838146,0,0,148.56479218300106,49.42498785438238,180.78727529963328,144.0388775339886,152.58451963417406,112.60107987793134,72.47287617429546,180.05428032874818,107.93326434120634,116.74661880927655,148.56479218300106,112.60107987793134,35.96371230506972,-1.9913810085545691
7,14000,9.1020490554222,4,362.960779235993,0,0,148.89473071388355,49.65436230808772,182.45381632427888,144.44739499582803,153.3420664319391,111.3479254420575,72.6923619670409,180.5069629117142,106.98567286957207,115.71017801454298,148.89473071388355,111.3479254420575,37.546805271826045,0.8184304289448647
8,16000,15.375818267007133,4,361.4290082870889,0,0,148.05448292440894,49.95382681835588,180.00419119165522,144.21298695951396,152.37941105869072,112.44431754278473,73.17199979083324,181.4248170954337,107.82910787587966,117.05952720968979,148.05448292440894,112.44431754278473,35.61016538162421,0.1085090094861414
9,18000,23.114781904015576,4,359.3602243288744,0,0,147.92772034708503,50.16469510779362,180.0591345406074,143.56023538624297,152.8459223202825,113.4963851822103,73.45548497505376,179.30108978826695,108.175287407803,118.81748295661764,147.92772034708503,113.4963851822103,34.431335164874724,0.1563972634797608
10,20000,31.83275715649044,4,361.2283710089468,0,0,145.74570176610644,50.182825408672855,180.2695610482843,141.3500877233423,150.69564265836078,112.19563074021833,73.26993082548702,180.9588099606625,107.62217931644481,116.76908216399187,145.74570176610644,112.19563074021833,33.5500710258881,0.5018515952362463
11,22000,40.90909090909091,4,359.3089776572831,0,0,147.2030859605499,50.32911674594891,179.83429180537448,142.34230975145277,152.06386216964702,110.00363928109904,73.46391941236173,179.4746858519086,105.42586912733931,114.58140943485877,147.2030859605499,110.00363928109904,37.19944667945087,5.377945719542126
12,24000,50.0,4,362.10510207445867,0,0,143.66415648483942,49.875498664186026,180.79373026240933,139.37211605410363,147.95619691557522,110.24513001757806,72.93522005402428,181.3113718120494,105.48256674189055,115.00769329326559,143.66415648483942,110.24513001757806,33.41902646726136,2.8242439780957227
13,26000,59.090909090909086,4,360.4705695626802,0,0,144.78208333161575,49.59764633204778,180.1285385115142,140.48124989469062,149.62508517775674,110.6472486059903,72.53471928885041,180.34203105116603,106.3062534669664,114.98824374501419,144.78208333161575,110.6472486059903,34.13483472562545,4.766770707202923
14,28000,68.18181818181817,4,360.36986111884494,0,0,146.79926724064146,49.42563322040393,180.3964299588958,142.20726391227532,150.8775924253889,112.57063927773491,72.34564216578357,179.97343115994914,107.64982154878786,116.9404425314794,146.79926724064146,112.57063927773491,34.22862796290654,6.087282415227122
15,30000,77.27272727272727,4,361.080004392232,0,0,148.78855593446727,49.56076508549279,180.78331815936107,144.4434163118499,153.13369555708462,110.66987158737003,72.42740057890833,180.29668623287097,105.41837232410059,115.33269070480884,148.78855593446727,110.66987158737003,38.11868434709724,11.20405727016093
16,32000,86.36363636363636,4,360.1784495318393,0,0,149.66222641439543,49.66635848278143,179.86461974282932,145.14056407235594,154.18388875643498,111.22353780018453,72.54405280259138,180.31382978901004,105.89541461762457,115.95423545254584,149.66222641439543,111.22353780018453,38.4386886142109,12.7507800080177
17,34000,95.45454545454545,4,359.87684421924587,0,0,151.26479512666378,50.06820014987787,179.864718674515,147.14835230641177,155.89979156712323,106.0302604231307,73.0401415167348,180.01212554473085,101.42102397261469,110.12386469389493,151.26479512666378,106.0302604231307,45.234534703533086,20.77334456808299
18,36000,104.54545454545455,4,360.8128495347864,0,0,156.0506899517161,50.33301642076538,179.74520129998422,151.2433056546688,160.31995267907737,97.79561312179335,73.23859209896885,181.0676482348022,93.54389863106857,102.04732761251817,156.0506899517161,97.79561312179335,58.25507682992274,35.020605165215756
19,38000,113.63636363636363,4,363.3515446566027,0,0,156.592100084403,50.200504326953016,181.07160993083278,151.84277881676687,161.3414213520391,92.21412171030478,73.24147537744068,182.27993472576992,87.00125275581297,97.4269906647966,156.592100084403,92.21412171030478,64.37797837409822,42.37022518013434
20,40000,122.72727272727272,4,361.96432857219327,0,0,159.16801334260165,50.34427232241983,180.82538648188194,154.34448813209843,163.9915385531049,82.74737909724256,73.36163705584346,181.13894209031128,77.50092821410453,87.40572578694281,159.16801334260165,82.74737909724256,76.4206342453591,55.639599522138326
21,42000,131.8181818181818,4,361.6296332020826,0,0,165.13609740015673,50.030010793531595,180.67475605473203,159.93997050155136,170.33222429876213,72.71675319950388,72.94917779624541,180.95487714735054,66.67815466159395,78.07649569291424,165.13609740015673,72.71675319950388,92.41934420065284,72.86502794817518
22,44000,140.9090909090909,4,360.7994875349949,0,0,170.77118979444296,49.6643729756135,180.33059566386947,166.0369875865233,175.5053920023627,58.68582642697421,72.52437378536234,180.46889187112546,54.04164932482527,63.33000352912313,170.77118979444296,58.68582642697421,112.08536336746874,93.75776558573419
23,46000,150.0,4,272.6512408695652,0,0,185.07122805008356,50.004111098891116,93.15447227254691,2.8388491536443134,183.956093246928,36.57199431542635,72.39442558583568,179.49676859701827,32.49186245533823,40.65212617551447,185.07122805008356,36.57199431542635,148.4992337346572,131.39835442366575
24,48000,159.0909090909091,2,116.76677227240884,0,0,,,,,,25.630323277561462,72.32248428578153,116.76677227240884,17.586058475580224,27.61826026285019,,25.630323277561462,,
25,50000,168.1818181818182,0,0.0,0,0,,,,,,,,,,,,,,
26,52000,177.27272727272725,0,0.0,0,0,,,,,,,,,,,,,,
27,54000,186.36363636363635,3,103.99370100590767,0,3,,,,,,,,,,,,,,
28,56000,195.45454545454544,2,55.53900244673244,0,2,,,,,,,,,,,,,,
29,58000,204.54545454545453,5,92.26310770638914,0,4,,,,,,11.295499478927804,51.70937381354276,10.102511919226584,11.295499478927804,11.295499478927804,,11.295499478927804,,
30,60000,213.63636363636363,3,67.61339380717442,0,3,,,,,,,,,,,,,,
31,62000,222.72727272727272,3,57.23810667597238,0,3,,,,,,,,,,,,,,
32,64000,231.8181818181818,4,86.40610577235844,0,3,,,,,,11.824535885262883,60.53962899352641,18.798894732048247,11.824535885262883,11.824535885262883,,11.824535885262883,,
33,66000,240.9090909090909,6,73.49080443961732,0,5,9.581139746826342,58.59948473462943,10.540544661980864,9.581139746826342,9.581139746826342,,,,,,195.72693974682636,,,
34,68000,250.0,6,74.93351101597432,0,6,,,,,,,,,,,,,,
35,70000,259.09090909090907,4,58.69592233807629,0,3,9.723799158197455,61.84410807549409,14.911512412666106,9.723799158197455,9.723799158197455,,,,,,195.86959915819747,,,
36,72000,268.1818181818182,4,73.7403026489161,0,3,10.258208260735149,59.089418704645816,12.250787360320981,10.258208260735149,10.258208260735149,,,,,,196.40400826073517,,,
37,74000,277.27272727272725,2,37.54806988631232,0,1,11.486263068241222,59.71133885727926,17.925943417591082,11.486263068241222,11.486263068241222,,,,,,197.63206306824125,,,
38,76000,286.3636363636364,6,71.52347986728613,0,6,,,,,,,,,,,,,,
39,78000,295.45454545454544,5,56.873665207046976,1,4,,,,,,,,,,,,,,
40,80000,304.5454545454545,6,98.10044369841478,1,3,9.178383787455289,59.14157125866113,10.909996921054237,9.178383787455289,9.178383787455289,9.850821168894905,65.26147177731832,15.914220448280581,9.850821168894905,9.850821168894905,195.32418378745533,9.850821168894905,185.47336261856043,189.2266973102018
41,82000,313.6363636363636,0,0.0,0,0,,,,,,,,,,,,,,
