frame,step,tau_nominal_MPa,n_segments,dxa_total_len_A,n_interface_segments,n_other_segments,x_plus,z_plus,len_plus,xmin_plus,xmax_plus,x_minus,z_minus,len_minus,xmin_minus,xmax_minus,xu_plus,xu_minus,s_A,s_dev_A
0,0,0.0,4,359.46382541687086,0,0,152.57253617960126,50.23734024291639,179.65496488017675,148.15183218697368,156.99324017222884,107.72956551093955,73.5092069725383,179.80886053669406,103.13806690281464,112.90056364736233,152.57253617960126,107.72956551093955,44.84297066866171,0.03011734299686708
1,2000,0.0,4,363.25984030379027,0,0,149.4574944790074,50.12784587600173,182.08699384724048,145.03567391444383,153.87931504357098,106.64670957844268,73.36376972385074,181.17284645654973,101.70348280155918,111.58993635532619,149.4574944790074,106.64670957844268,42.81078490056473,-0.7532249848796582
2,4000,0.0,4,361.75289685008784,0,0,150.1712023277653,50.34509576869991,180.88407162533065,145.62252630139469,154.71987835413591,106.0318527016033,73.49881067934234,180.8688252247572,101.09008779626794,110.97361760693867,150.1712023277653,106.0318527016033,44.13934962616199,1.824183180938057
3,6000,0.014575338308623289,4,359.8543397256701,0,0,147.6631718788255,49.94277899427673,179.36988194143242,143.1478821098502,152.17846164780084,106.27960751768298,72.77738653884511,180.4844577842377,101.45838158269159,111.10083345267437,147.6631718788255,106.27960751768298,41.38356436114252,0.3172413561390428
4,8000,0.3875091767428495,4,360.4276647422048,0,0,148.138580024655,49.654942690172646,180.54745673044619,143.9714821913964,152.8307138237855,108.28553029073122,72.6462617383347,179.8802080117586,103.32689261959752,112.68885179113917,148.138580024655,108.28553029073122,39.85304973392378,0.03557016914076172
5,10000,1.7394546306435006,4,360.1074114350581,0,0,148.5940980526327,49.43451418267849,179.98291487512302,143.87255414226638,152.78726806270936,109.68181845551669,72.3436248800947,180.1244965599351,105.19252834972869,114.73746588655065,148.5940980526327,109.68181845551669,38.912279597116,0.3436434725534241
6,12000,4.5565945099676535,4,360.6866979993798,0,0,145.76165609363267,49.403754468812366,180.78118382314605,141.22899032462948,150.29432186263588,110.28552383946078,72.4783176090377,179.90551417623374,106.22269396184952,114.86005051430207,145.76165609363267,110.28552383946078,35.47613225417189,-1.8436604301702317
7,14000,9.1020490554222,4,359.54453260406774,0,0,147.3828257358673,49.71435926073282,179.72423917715292,143.0413086564114,151.7243428153232,112.98905995822716,72.74406140389809,179.82029342691476,108.22066754133135,117.22375950754729,147.3828257358673,112.98905995822716,34.39376577764014,-1.677183466481523
8,16000,15.375818267007133,4,360.69748779913647,0,0,147.01074901827215,50.05949145248867,180.19934135979526,142.8055814855768,151.7458267915413,113.08643908088528,73.22201736379284,180.49814643934127,108.6525456131124,117.52033254865819,147.01074901827215,113.08643908088528,33.924309937386866,-0.8977958665143433
9,18000,23.114781904015576,4,361.3077801592791,0,0,147.75727417024234,50.210747010488305,180.68171273876754,143.0595412106877,152.455007129797,112.2501698375486,73.44560884792757,180.6260674205115,107.79885917010492,117.26295860431132,147.75727417024234,112.2501698375486,35.50710433269374,1.9338419690129882
10,20000,31.83275715649044,4,359.87922042468597,0,0,143.9118342702626,50.14757883940488,180.1355834077526,139.39518432101792,148.99835789005823,110.90014808953768,73.37336590241677,179.7436370169334,106.49389973890958,115.86208832257562,143.9118342702626,110.90014808953768,33.01168618072492,0.6872672572646223
11,22000,40.90909090909091,4,361.5602092241427,0,0,146.6710311195529,50.27050163551151,180.45479280936843,142.07878722920182,150.74956959139405,109.67466866890427,73.42774899948293,181.10541641477425,104.68378119135164,114.66555614645692,146.6710311195529,109.67466866890427,36.99636245064863,5.920786967408787
12,24000,50.0,4,360.15613495748426,0,0,145.2201302358511,49.85986845267295,179.88710140179424,140.67900290677923,149.2533464408562,112.1049572893776,72.90270965397471,180.26903355569004,107.65973611733303,116.5501784614222,145.2201302358511,112.1049572893776,33.11517294647349,3.2884409034541022
13,26000,59.090909090909086,4,359.0175854151725,0,0,147.23532170902868,49.63166466810783,179.68339388919742,142.77908722546675,151.69155619259058,111.1615926748578,72.54989377654346,179.33419152597511,106.46538767658281,115.85779767313281,147.23532170902868,111.1615926748578,36.07372903417088,7.495840431371942
14,28000,68.18181818181817,4,361.41616866825285,0,0,144.73822761591708,49.46224765093117,180.41105916621166,140.54310927037827,148.93334596145593,111.71495753437422,72.3066119865016,181.0051095020412,107.15272620372667,116.2771888650218,144.73822761591708,111.71495753437422,33.02327008154286,5.694224918964377
15,30000,77.27272727272727,4,361.80932643276384,0,0,147.30699353964263,49.51234919966393,181.65939017704102,142.969530427018,151.6444566522673,110.08149509429565,72.48493320583299,180.14993625572282,105.67205782522775,115.047033613636,147.30699353964263,110.08149509429565,37.225498445346986,11.145296722988956
16,32000,86.36363636363636,4,362.1080580396428,0,0,150.24843443137638,49.66450764004511,181.28678585427082,146.1028323299283,154.39403653282446,109.79397680077594,72.6652999744602,180.82127218537198,104.8626764217838,114.72527717976807,150.24843443137638,109.79397680077594,40.454457630600444,15.623099348462869
17,34000,95.45454545454545,4,360.48310773538776,0,0,151.28416503350087,50.01945889760873,180.31759686046348,146.11497168463103,155.8740645934116,107.2153788572185,73.03019555568663,180.16551087492434,102.24188521957261,112.1888724948644,151.28416503350087,107.2153788572185,44.06878617628237,20.486271334365252
18,36000,104.54545454545455,4,358.91246898107465,0,0,155.4991003260366,50.29988313417735,179.39038386601905,150.71019473277346,160.28800591929974,101.26049181579745,73.2967880228009,179.52208511505563,96.3655974849558,106.15538614663913,155.4991003260366,101.26049181579745,54.238608510239146,31.904937108542477
19,38000,113.63636363636363,4,360.27589835235153,0,0,155.4058159432203,50.247146961167715,179.91401985772433,151.23898509905254,160.09764857670623,92.98984291428116,73.25662046917307,180.36187849462723,87.6820821260629,97.70250287729695,155.4058159432203,92.98984291428116,62.415973028939135,41.33114506746292
20,40000,122.72727272727272,4,361.47702761970027,0,0,158.5256081593439,50.33037479393328,180.51993726099062,153.372913112507,163.10088999380906,84.40749665211753,73.38535809518123,180.95709035870965,79.64737781600019,89.76883400968026,158.5256081593439,84.40749665211753,74.11811150722637,54.28212698597061
