r_A,vm_control_MPa,vm_physical_MPa,delta_vm_MPa,delta_sxz_MPa,n_atoms
22,74.33,54.86,-19.48,6.61,1975
26,495.68,496.23,0.55,5.62,988
30,465.54,466.65,1.11,4.60,1976
34,399.63,399.70,0.07,2.51,1976
38,392.39,387.63,-4.77,1.84,1282
42,231.28,233.10,1.82,-0.27,1682
46,210.57,203.42,-7.15,0.05,1976
50,147.81,139.52,-8.29,-0.00,1976
54,108.89,100.65,-8.23,-0.00,988
58,78.31,70.78,-7.53,-0.00,1976
62,47.61,41.51,-6.10,0.00,1976
66,31.04,26.15,-4.89,-0.00,988
70,19.45,15.74,-3.72,-0.00,1976
74,8.71,6.37,-2.34,-0.00,1976
78,1.66,0.36,-1.30,-0.00,1976
82,2.33,3.06,0.73,-0.00,988
86,5.74,6.11,0.38,-0.00,1976
90,10.08,10.23,0.15,-0.00,1976
94,13.39,13.52,0.13,-0.00,988
98,16.76,16.98,0.22,-0.00,1976
102,21.13,21.56,0.43,-0.00,1976
106,24.87,25.55,0.68,-0.00,1976
110,26.89,27.75,0.86,-0.00,988
114,27.76,28.74,0.98,-0.00,1976
118,26.96,28.01,1.04,-0.00,1976
122,24.81,25.81,1.00,-0.00,988
126,23.26,24.13,0.87,-0.00,1976
130,108.17,108.75,0.58,-0.00,1976
