frame,step,tau_MPa,n_segments,dxa_len_A,n_interface_segments,hcp_matrix,x_probe,x_partner,len_probe,len_partner,xu_probe,xu_partner
0,0,0.0,2,82.74057033597421,0,63,,106.89543500706989,0.0,82.74057033597421,,106.89543500706989
1,1000,0.0,0,0.0,0,0,,,0.0,0.0,,
2,2000,0.0,0,0.0,0,0,,,0.0,0.0,,
3,3000,0.0,0,0.0,0,0,,,0.0,0.0,,
4,4000,0.0,1,8.507943798564124,1,0,,,0.0,0.0,,
5,5000,0.0,0,0.0,0,0,,,0.0,0.0,,
6,6000,0.0,0,0.0,0,0,,,0.0,0.0,,
7,7000,0.0,0,0.0,0,0,,,0.0,0.0,,
8,8000,0.0,0,0.0,0,0,,,0.0,0.0,,
9,9000,0.0,0,0.0,0,0,,,0.0,0.0,,
10,10000,30.0,0,0.0,0,0,,,0.0,0.0,,
11,11000,30.0,0,0.0,0,0,,,0.0,0.0,,
12,12000,30.0,0,0.0,0,0,,,0.0,0.0,,
13,13000,30.0,0,0.0,0,0,,,0.0,0.0,,
14,14000,30.0,0,0.0,0,0,,,0.0,0.0,,
15,15000,30.0,0,0.0,0,0,,,0.0,0.0,,
16,16000,30.0,0,0.0,0,0,,,0.0,0.0,,
17,17000,30.0,0,0.0,0,0,,,0.0,0.0,,
18,18000,30.0,0,0.0,0,0,,,0.0,0.0,,
19,19000,30.0,0,0.0,0,0,,,0.0,0.0,,
20,20000,30.0,0,0.0,0,0,,,0.0,0.0,,
21,21000,30.0,0,0.0,0,0,,,0.0,0.0,,
22,22000,30.0,0,0.0,0,0,,,0.0,0.0,,
23,23000,30.0,0,0.0,0,0,,,0.0,0.0,,
24,24000,30.0,0,0.0,0,0,,,0.0,0.0,,
25,25000,30.0,0,0.0,0,0,,,0.0,0.0,,
26,26000,30.0,0,0.0,0,0,,,0.0,0.0,,
27,27000,30.0,0,0.0,0,0,,,0.0,0.0,,
28,28000,30.0,0,0.0,0,0,,,0.0,0.0,,
29,29000,30.0,0,0.0,0,0,,,0.0,0.0,,
30,30000,40.0,0,0.0,0,0,,,0.0,0.0,,
31,31000,40.0,0,0.0,0,0,,,0.0,0.0,,
32,32000,40.0,0,0.0,0,0,,,0.0,0.0,,
33,33000,40.0,0,0.0,0,0,,,0.0,0.0,,
34,34000,40.0,0,0.0,0,0,,,0.0,0.0,,
35,35000,40.0,0,0.0,0,0,,,0.0,0.0,,
36,36000,40.0,0,0.0,0,0,,,0.0,0.0,,
37,37000,40.0,0,0.0,0,0,,,0.0,0.0,,
38,38000,40.0,0,0.0,0,0,,,0.0,0.0,,
39,39000,40.0,0,0.0,0,0,,,0.0,0.0,,
40,40000,40.0,0,0.0,0,0,,,0.0,0.0,,
41,41000,40.0,0,0.0,0,0,,,0.0,0.0,,
42,42000,40.0,0,0.0,0,0,,,0.0,0.0,,
43,43000,40.0,0,0.0,0,0,,,0.0,0.0,,
44,44000,40.0,0,0.0,0,0,,,0.0,0.0,,
45,45000,40.0,0,0.0,0,0,,,0.0,0.0,,
46,46000,40.0,0,0.0,0,0,,,0.0,0.0,,
47,47000,40.0,0,0.0,0,0,,,0.0,0.0,,
48,48000,40.0,0,0.0,0,0,,,0.0,0.0,,
