r_lo_A,vm_control,vm_physical,delta_vm,sxz_control,sxz_physical,delta_sxz,n_atoms
0.0,nan,nan,nan,nan,nan,nan,0
5.0,nan,nan,nan,nan,nan,nan,0
10.0,nan,nan,nan,nan,nan,nan,0
15.0,nan,nan,nan,nan,nan,nan,0
20.0,185.56,198.60,13.04,-48.22,-54.74,-6.52,1006
25.0,554.24,541.32,-12.91,-28.02,23.95,51.98,1282
30.0,657.64,617.55,-40.08,-2.08,-4.82,-2.74,1280
35.0,691.98,684.91,-7.07,23.81,-48.92,-72.73,1280
40.0,537.41,558.94,21.53,-11.48,-10.75,0.73,1280
45.0,658.35,729.55,71.20,-29.16,-18.84,10.31,1282
50.0,534.56,517.74,-16.82,34.06,-37.68,-71.75,1418
55.0,559.44,616.20,56.76,-73.28,-58.84,14.44,1524
60.0,528.97,566.72,37.75,-59.12,-50.97,8.15,1455
65.0,461.09,549.96,88.87,-9.16,-61.36,-52.20,1359
70.0,414.61,441.62,27.01,-39.90,-55.89,-15.99,1282
75.0,630.54,602.17,-28.36,-35.21,-57.20,-21.99,1280
80.0,603.44,656.57,53.13,-9.39,-79.30,-69.91,1280
85.0,611.20,746.74,135.53,-78.19,-35.25,42.94,1280
90.0,679.91,764.35,84.44,-38.18,-58.82,-20.64,1296
95.0,547.01,502.03,-44.98,-73.13,-43.06,30.08,1486
100.0,747.83,647.70,-100.13,-71.66,-86.42,-14.77,1440
105.0,569.35,516.07,-53.28,-55.67,-72.48,-16.82,1480
110.0,780.35,785.80,5.45,-13.22,-113.89,-100.67,1337
115.0,548.46,608.29,59.82,-25.64,-66.14,-40.50,1281
120.0,605.34,626.35,21.01,-63.83,-83.79,-19.96,1280
125.0,527.68,538.13,10.45,-49.55,-43.68,5.87,1280
130.0,771.21,804.30,33.09,-81.57,-84.48,-2.91,1280
135.0,358.77,398.52,39.74,-91.34,-56.79,34.55,1304
140.0,589.95,546.65,-43.30,-47.63,-69.75,-22.12,1474
145.0,604.05,615.64,11.59,-92.88,-83.33,9.55,1465
150.0,528.84,558.44,29.61,-75.15,-68.06,7.08,1504
155.0,500.19,653.69,153.50,-60.64,-85.29,-24.65,1292
160.0,619.51,621.36,1.85,-99.96,-75.19,24.77,1280
165.0,739.94,651.15,-88.79,-54.60,-45.19,9.41,1280
170.0,642.34,519.60,-122.73,-56.94,-60.87,-3.93,1280
175.0,600.75,550.28,-50.47,-128.15,-97.86,30.29,1280
180.0,606.29,691.25,84.96,-70.86,-105.58,-34.72,1298
185.0,557.13,744.40,187.27,-90.57,-71.51,19.06,1442
190.0,759.61,774.92,15.31,-63.93,-122.88,-58.95,1620
195.0,392.43,423.24,30.81,-79.73,-75.79,3.93,1400
