r_lo_A,vm_control,vm_physical,delta_vm,sxz_control,sxz_physical,delta_sxz,n_atoms
0.0,nan,nan,nan,nan,nan,nan,0
5.0,nan,nan,nan,nan,nan,nan,0
10.0,nan,nan,nan,nan,nan,nan,0
15.0,nan,nan,nan,nan,nan,nan,0
20.0,236.84,188.53,-48.30,-53.86,-83.38,-29.52,1143
25.0,600.70,551.92,-48.78,-80.03,-26.51,53.51,1310
30.0,616.98,737.20,120.22,-89.27,-51.45,37.83,1281
35.0,755.08,697.10,-57.98,-53.42,-66.68,-13.25,1280
40.0,618.95,576.09,-42.86,-60.61,-79.92,-19.32,1280
45.0,639.34,727.73,88.39,-2.27,-90.11,-87.84,1280
50.0,489.79,489.29,-0.49,0.78,-12.80,-13.57,1293
55.0,654.13,700.00,45.87,28.43,-21.73,-50.16,1447
60.0,562.57,575.15,12.57,-26.79,23.62,50.41,1463
65.0,583.77,589.94,6.17,-22.80,4.61,27.42,1507
70.0,570.32,556.29,-14.03,20.79,-51.28,-72.07,1329
75.0,636.41,734.44,98.03,39.98,13.19,-26.79,1280
80.0,623.82,581.56,-42.26,65.63,-8.87,-74.50,1280
85.0,656.80,818.29,161.49,39.09,41.48,2.38,1280
90.0,660.55,633.35,-27.20,48.38,63.27,14.88,1281
95.0,541.24,507.31,-33.93,35.40,88.55,53.15,1318
100.0,700.16,787.75,87.59,30.03,27.80,-2.23,1430
105.0,602.25,546.21,-56.04,69.59,20.69,-48.90,1522
110.0,747.85,703.42,-44.43,66.32,14.49,-51.83,1458
115.0,557.24,613.95,56.71,85.05,47.19,-37.86,1309
120.0,728.19,748.81,20.62,111.61,55.48,-56.13,1281
125.0,630.18,642.21,12.03,47.22,68.48,21.27,1280
130.0,879.08,907.61,28.53,85.71,73.52,-12.19,1280
135.0,542.68,474.75,-67.93,58.45,2.04,-56.42,1281
140.0,573.20,568.04,-5.16,69.44,39.98,-29.46,1315
145.0,568.62,611.07,42.45,77.07,80.87,3.80,1475
150.0,582.73,581.48,-1.25,74.98,63.88,-11.09,1506
155.0,582.52,559.05,-23.47,128.93,72.95,-55.99,1418
160.0,534.03,512.23,-21.80,88.08,53.60,-34.48,1324
165.0,583.59,641.22,57.63,70.86,3.14,-67.72,1281
170.0,565.45,586.96,21.50,44.74,9.61,-35.13,1280
175.0,506.27,471.75,-34.52,78.07,42.79,-35.27,1280
180.0,574.69,642.53,67.84,126.58,69.24,-57.34,1282
185.0,649.93,635.28,-14.65,117.71,79.30,-38.41,1327
190.0,744.02,777.74,33.72,98.81,123.89,25.08,1496
195.0,474.44,518.79,44.35,110.64,43.29,-67.35,1529
