bin_index,z_lo_A,z_hi_A,z_center_A,total_atoms,Al_type_1_atoms,Fe_type_2_atoms,Al_slab_atoms,Fe4Al13_slab_atoms,total_number_density_atoms_per_A3,Al_slab_density_atoms_per_A3,Fe4Al13_slab_density_atoms_per_A3,majority_phase,in_interface_window
0,0.0,1.0,0.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
1,1.0,2.0,1.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
2,2.0,3.0,2.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
3,3.0,4.0,3.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
4,4.0,5.0,4.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
5,5.0,6.0,5.5,11,11,0,11,0,0.10767749033638026,0.10767749033638026,0.0,Al_slab,False
6,6.0,7.0,6.5,3,3,0,3,0,0.029366588273558255,0.029366588273558255,0.0,Al_slab,False
7,7.0,8.0,7.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
8,8.0,9.0,8.5,14,14,0,14,0,0.1370440786099385,0.1370440786099385,0.0,Al_slab,False
9,9.0,10.0,9.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
10,10.0,11.0,10.5,14,14,0,14,0,0.1370440786099385,0.1370440786099385,0.0,Al_slab,False
11,11.0,12.0,11.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
12,12.0,13.0,12.5,4,4,0,4,0,0.03915545103141101,0.03915545103141101,0.0,Al_slab,False
13,13.0,14.0,13.5,10,10,0,10,0,0.09788862757852751,0.09788862757852751,0.0,Al_slab,False
14,14.0,15.0,14.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
15,15.0,16.0,15.5,14,14,0,14,0,0.1370440786099385,0.1370440786099385,0.0,Al_slab,False
16,16.0,17.0,16.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
17,17.0,18.0,17.5,14,14,0,14,0,0.1370440786099385,0.1370440786099385,0.0,Al_slab,False
18,18.0,19.0,18.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
19,19.0,20.0,19.5,3,3,0,3,0,0.029366588273558255,0.029366588273558255,0.0,Al_slab,False
20,20.0,21.0,20.5,11,11,0,11,0,0.10767749033638026,0.10767749033638026,0.0,Al_slab,False
21,21.0,22.0,21.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
22,22.0,23.0,22.5,14,14,0,14,0,0.1370440786099385,0.1370440786099385,0.0,Al_slab,False
23,23.0,24.0,23.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
24,24.0,25.0,24.5,14,14,0,14,0,0.1370440786099385,0.1370440786099385,0.0,Al_slab,False
25,25.0,26.0,25.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
26,26.0,27.0,26.5,1,1,0,1,0,0.009788862757852752,0.009788862757852752,0.0,Al_slab,False
27,27.0,28.0,27.5,13,13,0,13,0,0.12725521585208577,0.12725521585208577,0.0,Al_slab,False
28,28.0,29.0,28.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
29,29.0,30.0,29.5,14,14,0,14,0,0.1370440786099385,0.1370440786099385,0.0,Al_slab,False
30,30.0,31.0,30.5,0,0,0,0,0,0.0,0.0,0.0,empty,False
31,31.0,32.0,31.5,14,14,0,14,0,0.1370440786099385,0.1370440786099385,0.0,Al_slab,False
32,32.0,33.0,32.5,0,0,0,0,0,0.0,0.0,0.0,empty,True
33,33.0,34.0,33.5,4,4,0,4,0,0.03915545103141101,0.03915545103141101,0.0,Al_slab,True
34,34.0,35.0,34.5,10,10,0,10,0,0.09788862757852751,0.09788862757852751,0.0,Al_slab,True
35,35.0,36.0,35.5,1,1,0,1,0,0.009788862757852752,0.009788862757852752,0.0,Al_slab,True
36,36.0,37.0,36.5,13,13,0,13,0,0.12725521585208577,0.12725521585208577,0.0,Al_slab,True
37,37.0,38.0,37.5,0,0,0,0,0,0.0,0.0,0.0,empty,True
38,38.0,39.0,38.5,10,10,0,10,0,0.09788862757852751,0.09788862757852751,0.0,Al_slab,True
39,39.0,40.0,39.5,3,3,0,3,0,0.029366588273558255,0.029366588273558255,0.0,Al_slab,True
40,40.0,41.0,40.5,7,6,1,1,6,0.06852203930496925,0.009788862757852752,0.05873317654711651,Fe4Al13_slab,True
41,41.0,42.0,41.5,6,3,3,0,6,0.05873317654711651,0.0,0.05873317654711651,Fe4Al13_slab,True
42,42.0,43.0,42.5,5,5,0,0,5,0.048944313789263755,0.0,0.048944313789263755,Fe4Al13_slab,True
43,43.0,44.0,43.5,8,6,2,0,8,0.07831090206282201,0.0,0.07831090206282201,Fe4Al13_slab,True
44,44.0,45.0,44.5,5,4,1,0,5,0.048944313789263755,0.0,0.048944313789263755,Fe4Al13_slab,True
45,45.0,46.0,45.5,10,9,1,0,10,0.09788862757852751,0.0,0.09788862757852751,Fe4Al13_slab,True
46,46.0,47.0,46.5,5,2,3,0,5,0.048944313789263755,0.0,0.048944313789263755,Fe4Al13_slab,True
47,47.0,48.0,47.5,5,4,1,0,5,0.048944313789263755,0.0,0.048944313789263755,Fe4Al13_slab,True
48,48.0,49.0,48.5,6,6,0,0,6,0.05873317654711651,0.0,0.05873317654711651,Fe4Al13_slab,True
49,49.0,50.0,49.5,7,3,4,0,7,0.06852203930496925,0.0,0.06852203930496925,Fe4Al13_slab,False
50,50.0,51.0,50.5,6,6,0,0,6,0.05873317654711651,0.0,0.05873317654711651,Fe4Al13_slab,False
51,51.0,52.0,51.5,8,6,2,0,8,0.07831090206282201,0.0,0.07831090206282201,Fe4Al13_slab,False
52,52.0,53.0,52.5,3,3,0,0,3,0.029366588273558255,0.0,0.029366588273558255,Fe4Al13_slab,False
53,53.0,54.0,53.5,11,9,2,0,11,0.10767749033638026,0.0,0.10767749033638026,Fe4Al13_slab,False
54,54.0,55.0,54.5,5,2,3,0,5,0.048944313789263755,0.0,0.048944313789263755,Fe4Al13_slab,False
55,55.0,56.0,55.5,6,5,1,0,6,0.05873317654711651,0.0,0.05873317654711651,Fe4Al13_slab,False
56,56.0,57.0,56.5,5,5,0,0,5,0.048944313789263755,0.0,0.048944313789263755,Fe4Al13_slab,False
57,57.0,58.0,57.5,7,3,4,0,7,0.06852203930496925,0.0,0.06852203930496925,Fe4Al13_slab,False
58,58.0,59.0,58.5,6,6,0,0,6,0.05873317654711651,0.0,0.05873317654711651,Fe4Al13_slab,False
59,59.0,60.0,59.5,8,6,2,0,8,0.07831090206282201,0.0,0.07831090206282201,Fe4Al13_slab,False
60,60.0,61.0,60.5,3,3,0,0,3,0.029366588273558255,0.0,0.029366588273558255,Fe4Al13_slab,False
61,61.0,62.0,61.5,11,9,2,0,11,0.10767749033638026,0.0,0.10767749033638026,Fe4Al13_slab,False
62,62.0,63.0,62.5,6,2,4,0,6,0.05873317654711651,0.0,0.05873317654711651,Fe4Al13_slab,False
63,63.0,64.0,63.5,5,5,0,0,5,0.048944313789263755,0.0,0.048944313789263755,Fe4Al13_slab,False
64,64.0,65.0,64.5,5,5,0,0,5,0.048944313789263755,0.0,0.048944313789263755,Fe4Al13_slab,False
65,65.0,66.0,65.5,7,3,4,0,7,0.06852203930496925,0.0,0.06852203930496925,Fe4Al13_slab,False
66,66.0,67.0,66.5,9,8,1,0,9,0.08809976482067476,0.0,0.08809976482067476,Fe4Al13_slab,False
67,67.0,68.0,67.5,5,4,1,0,5,0.048944313789263755,0.0,0.048944313789263755,Fe4Al13_slab,False
68,68.0,69.0,68.5,6,4,2,0,6,0.05873317654711651,0.0,0.05873317654711651,Fe4Al13_slab,False
69,69.0,70.0,69.5,8,8,0,0,8,0.07831090206282201,0.0,0.07831090206282201,Fe4Al13_slab,False
70,70.0,71.0,70.5,7,3,4,0,7,0.06852203930496925,0.0,0.06852203930496925,Fe4Al13_slab,False
