metric,stress_000mpa_control,stress_060mpa_compression_ramp,comment
run_steps,5000,10000,"60 MPa run = 2000-step ramp + 8000-step hold"
active_loading_force_eV_per_A,0,-0.0007357076524527927,"compression toward Al side is negative z"
ok_basic,true,true,"no ERROR/nan/lost atoms detected by log parser"
dangerous_builds_max,0,0,"from LAMMPS logs"
total_wall_time,0:01:15,0:02:31,"LAMMPS wrote Total wall time; process was stopped after outputs existed"
dump_frames,51,101,"dump every 100 steps including step 0"
atoms_per_frame,618,618,"fallback dump header parser"
final_temp_K,289.96437,288.38011,"LAMMPS all-group Temp includes fixed atoms"
final_mobile_temp_K,303.74875,302.08918,"NVT thermostat temperature for mobile group"
last20_mean_temp_K,289.153834,284.2763455,"all-group Temp"
last20_mean_mobile_temp_K,302.899688,297.7903305,"mobile group Temp"
poteng_first_to_last_drift_eV,2.3198999999999614,0.3933999999999287,"from log parser first thermo row to last row"
toteng_first_to_last_drift_eV,2.6053000000001703,2.279700000000048,"includes thermostat/support effects; diagnostic only"
last20_mean_press_bar,-4321.03137,-4850.928525,"fixed-box slab pressure remains negative"
overall_mean_press_bar,-4453.943576470588,-4477.515902469136,"whole run mean"
overall_min_press_bar,-5833.7909,-6367.0776,"whole run min"
overall_max_press_bar,-2929.4678,-2406.4047,"whole run max"
min_Al_Al_distance_A,2.3833805557094343,2.456602159762194,"final data distance check"
min_Fe_Fe_distance_A,2.658076130572971,2.6837108845186077,"final data distance check"
min_Al_Fe_distance_A,2.129863446519644,2.030136901643954,"60 MPa has one Al-Fe warning pair below 2.1 A"
min_cross_slab_distance_A,2.4387914441647434,2.456602159762194,"final data distance check"
min_cross_slab_Al_Fe_distance_A,2.4387914441647434,2.511969031454882,"no cross-slab Al-Fe warning below 2.1 A"
pairs_below_1p8_A,0,0,"no hard overlaps"
Al_Fe_pairs_below_2p1_A,0,1,"60 MPa warning to inspect before higher load"
cross_slab_Al_Fe_pairs_below_2p1_A,0,0,"no interface Al-Fe warning pairs below 2.1 A"
warning_pair_id,none,232-260,"60 MPa warning pair is internal Fe4Al13"
warning_pair_min_distance_over_time_A,none,1.9596358488504906,"tracked over all saved frames"
warning_pair_frames_below_2p1_A,0,57,"out of 101 frames for 60 MPa"
warning_pair_frames_below_1p8_A,0,0,"no hard-overlap frame"
warning_pair_monotonic_collapse,none,false,"intermittent short contact"
stress_profile_frames,51,101,"stress/atom dump frames"
stress_profile_interface_z_A,40.3602,40.34395,"estimated from Al max / Fe min over frames"
Al_side_hydrostatic_GPa_mean,-0.8877706406860397,-0.9441686302425827,"z-bin 35-40 A"
Al_side_sigma_zz_GPa_mean,-0.49222499649846696,-0.4519310979047885,"z-bin 35-40 A"
Fe_side_hydrostatic_GPa_mean,-0.8327401722225356,-0.8128431502509667,"z-bin 40-45 A"
Fe_side_sigma_zz_GPa_mean,-0.47257588233257947,-0.3518168636081032,"z-bin 40-45 A"
verdict,passed_sanity,passed_with_warning,"60 MPa did not fail but has one internal/unknown Al-Fe distance warning to inspect"
