bin_index,z_lo_A,z_hi_A,z_center_A,frames_present,atom_count_mean,atom_count_std,Al_type_1_mean,Al_type_1_std,Fe_type_2_mean,Fe_type_2_std,Al_slab_atoms_mean,Al_slab_atoms_std,Fe4Al13_slab_atoms_mean,Fe4Al13_slab_atoms_std,sigma_xx_GPa_mean,sigma_xx_GPa_std,sigma_yy_GPa_mean,sigma_yy_GPa_std,sigma_zz_GPa_mean,sigma_zz_GPa_std,sigma_xy_GPa_mean,sigma_xy_GPa_std,sigma_xz_GPa_mean,sigma_xz_GPa_std,sigma_yz_GPa_mean,sigma_yz_GPa_std,hydrostatic_GPa_mean,hydrostatic_GPa_std,mean_pe_atom_eV_mean,mean_pe_atom_eV_std,single_frame_hydrostatic_GPa,single_frame_sigma_zz_GPa,delta_hydrostatic_vs_single_GPa,delta_sigma_zz_vs_single_GPa
0,5.0,10.0,7.5,51,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-5.542997482638353,0.1462189579400811,-5.871863847421364,0.14033810285209553,-1.1379550083836327,0.275365311104752,-0.6207639718444558,0.014620032006843982,0.338105557825237,0.13170451958171997,0.11907112136397724,0.11404727244675981,-4.18427211281445,0.1858491252332269,-3.136926358543417,0.001325122836084355,-3.589880373654241,-0.4808838424391634,-0.5943917391602094,-0.6570711659444693
1,10.0,15.0,12.5,51,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-1.0678410501747815,0.4101767014507988,-1.3967853558650267,0.42065271690131717,-0.2020515658855864,0.825552814926807,-0.6271703658832066,0.06572703674281932,-0.008688784460936207,0.41875884640369915,-0.026232462708189384,0.26059954022123666,-0.8888926573084648,0.5461563044908252,-3.3105567927170867,0.005994851005148415,-0.9099441761490502,-0.1495310299475578,0.021051518840585426,-0.052520535938028606
2,15.0,20.0,17.5,51,31.941176470588236,2.752538934917233,31.941176470588236,2.752538934917233,0.0,0.0,31.941176470588236,2.752538934917233,0.0,0.0,-1.0986063831975146,0.3724080382798979,-1.4267963009728044,0.35132836958221664,-0.21573354916641577,0.7435714506132766,-0.6944723423163683,0.11102726228912026,-0.02509836011511262,0.3824783750748038,-0.026474671966660528,0.3004512746500754,-0.9137120777789116,0.4643637952935265,-3.30999701964773,0.0052479456256292085,-1.0407648123241084,-0.07740940653600037,0.12705273454519683,-0.1383241426304154
3,20.0,25.0,22.5,51,38.03921568627451,2.734672077699449,38.03921568627451,2.734672077699449,0.0,0.0,38.03921568627451,2.734672077699449,0.0,0.0,-1.3524219796112442,0.4611261786203672,-1.7210291513084213,0.4991605500329471,-0.3574242451847811,0.979326016567957,-0.8651012427970524,0.12010079830072196,-0.019384802815769254,0.34053513748194725,-0.053094177768568306,0.35810152547598195,-1.1436251253681489,0.628940489423916,-3.3086471160114157,0.004516030627638049,-1.17774886889057,-0.6031849050606372,0.03412374352242109,0.24576065987585605
4,25.0,30.0,27.5,51,28.019607843137255,0.14002800840280097,28.019607843137255,0.14002800840280097,0.0,0.0,28.019607843137255,0.14002800840280097,0.0,0.0,-0.9846000091459525,0.33497534408412516,-1.2935648488390548,0.34646528603296634,-0.33616744776804647,0.7062874644892142,-0.6526640007363659,0.08755455504856158,-0.007488275188360765,0.37447488076125773,-0.05302885568738566,0.2908240398680863,-0.8714441019176845,0.4480312980743761,-3.3070628856370137,0.007541801166781131,-0.6343084290937447,-0.0021701321402393873,-0.23713567282393977,-0.3339973156278071
5,30.0,35.0,32.5,51,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-0.9953053247054353,0.49006670544444664,-1.335122350378565,0.48253203979261355,-0.3153396769768233,0.9233797022019051,-0.6170996995362202,0.09638244052190088,-0.012101601046908812,0.380698099920935,-0.027303147666365647,0.2942298112999812,-0.8819224506869412,0.6152872712783388,-3.298937457983193,0.007083615630542108,-0.9656775119804356,-0.5127189782919068,0.08375506129349441,0.19737930131508352
6,35.0,40.0,37.5,51,27.176470588235293,0.3850133687518487,27.176470588235293,0.3850133687518487,0.0,0.0,27.176470588235293,0.3850133687518487,0.0,0.0,-0.38298568275015127,0.5202552523038342,-1.788101242809501,0.563322220739782,-0.49222499649846696,0.8756352397546667,-0.7213016838087596,0.24160299636809995,-0.037762333972372386,0.45676281497241805,-0.05273545389012506,0.30049588375028663,-0.8877706406860397,0.5520127049034353,-3.287023027284988,0.0074654952545737015,-1.9778681353349619,-1.6617834780366467,1.0900974946489221,1.1695584815381799
7,40.0,45.0,42.5,51,29.901960784313726,1.1000891229493057,23.764705882352942,0.9917305136803576,6.137254901960785,0.4009791936316524,0.8235294117647058,0.3850133687518487,29.07843137254902,1.1107319614542828,-2.5639841454262555,0.5487181959599352,0.5383395110912279,0.6384227364602133,-0.47257588233257947,1.2006650368332956,2.1500782116944746,0.5394651112198153,0.13090235964358432,0.903210977041089,-0.17541771086960817,0.6681147501669534,-0.8327401722225356,0.5770184050373458,-3.5487772064599006,0.010106642998915567,-1.2475085858990083,-1.638331281485932,0.41476841367647266,1.1657553991533527
8,45.0,50.0,47.5,51,33.92156862745098,1.1107319614542828,24.058823529411764,0.9881652636251156,9.862745098039216,0.4009791936316524,0.0,0.0,33.92156862745098,1.1107319614542828,-0.9941562785016509,0.726489230143192,-0.10597645731330851,1.043308584370577,0.07169346688465929,1.1163858796156336,0.7496987331055917,0.5909433308238027,-0.2133523921239925,0.8226158638641592,0.05661158432931014,0.6038271055569636,-0.3428130896434334,0.7543298562006548,-3.4805314007180495,0.010163496506091297,-0.25073244622641233,-1.3583472139160984,-0.09208064341702105,1.4300406808007577
9,50.0,55.0,52.5,51,34.294117647058826,0.855432467166376,26.58823529411765,0.5357787076110918,7.705882352941177,0.46017899330842227,0.0,0.0,34.294117647058826,0.855432467166376,-1.2207516891430368,0.6286113173422339,1.168920471189137,0.7902518315668484,-0.8469103910870199,1.1276562515701318,1.6289903306387552,0.42962868673806515,-0.15026125614577324,0.730525119888916,0.14498779478397478,0.7340666222999299,-0.2995805363469733,0.6886908748364627,-3.544307616395667,0.009540148179792717,-1.7908002323715504,-2.5391540393480017,1.4912196960245772,1.6922436482609817
