bin_index,z_lo_A,z_hi_A,z_center_A,frames_present,atom_count_mean,atom_count_std,Al_type_1_mean,Al_type_1_std,Fe_type_2_mean,Fe_type_2_std,Al_slab_atoms_mean,Al_slab_atoms_std,Fe4Al13_slab_atoms_mean,Fe4Al13_slab_atoms_std,sigma_xx_GPa_mean,sigma_xx_GPa_std,sigma_yy_GPa_mean,sigma_yy_GPa_std,sigma_zz_GPa_mean,sigma_zz_GPa_std,sigma_xy_GPa_mean,sigma_xy_GPa_std,sigma_xz_GPa_mean,sigma_xz_GPa_std,sigma_yz_GPa_mean,sigma_yz_GPa_std,hydrostatic_GPa_mean,hydrostatic_GPa_std,mean_pe_atom_eV_mean,mean_pe_atom_eV_std,single_frame_hydrostatic_GPa,single_frame_sigma_zz_GPa,delta_hydrostatic_vs_single_GPa,delta_sigma_zz_vs_single_GPa
0,5.0,10.0,7.5,151,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-5.547868317050483,0.14796959726517697,-5.875156614990638,0.14342962270161227,-1.1468832754318103,0.27911765908842545,-0.6213765633332157,0.016123361815865378,0.3337375813083617,0.13548842030717953,0.12826161034009445,0.12631131263026202,-4.189969402490977,0.18901516307955846,-3.1370072185430464,0.0013639952686402199,-3.589880373654241,-0.4808838424391634,-0.6000890288367362,-0.665999432992647
1,10.0,15.0,12.5,151,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-1.044922678773487,0.3695603666892414,-1.3684478731511867,0.3768163826340489,-0.18042155576435895,0.7410799515432301,-0.6170752953178007,0.08205963218741485,-0.007665407611543299,0.399912221024236,0.0043309249952938975,0.33051488066256546,-0.8645973692296774,0.48802561623119084,-3.310609834437086,0.004664002668210314,-0.9099441761490502,-0.1495310299475578,0.04534680691937276,-0.030890525816801157
2,15.0,20.0,17.5,151,31.52980132450331,2.3030644715823527,31.52980132450331,2.3030644715823527,0.0,0.0,31.52980132450331,2.3030644715823527,0.0,0.0,-1.0858348847660106,0.4097404373214259,-1.3936011165606363,0.37839105128892964,-0.1408548030978012,0.8209251824890361,-0.676742242989646,0.10651379061242729,-0.015476127947974365,0.4141470234615406,0.004556304380803613,0.34846621131528616,-0.8734302681414826,0.5198683702351623,-3.3110407138587314,0.004947915062164287,-1.0407648123241084,-0.07740940653600037,0.16733454418262583,-0.06344539656180084
3,20.0,25.0,22.5,151,38.443708609271525,2.288043593959416,38.443708609271525,2.288043593959416,0.0,0.0,38.443708609271525,2.288043593959416,0.0,0.0,-1.360925158601299,0.4225462808098707,-1.7142960485730399,0.44150147821370306,-0.23680567619377274,0.9202149412225413,-0.8370490745600636,0.11115960452479626,-0.004578270249917167,0.4334427432320231,-0.015307373313398926,0.41413466184074627,-1.1040089611227037,0.5777497184706066,-3.3106000606721593,0.004320269797528618,-1.17774886889057,-0.6031849050606372,0.07373990776786621,0.3663792288668644
4,25.0,30.0,27.5,151,28.026490066225165,0.1611218945415621,28.026490066225165,0.1611218945415621,0.0,0.0,28.026490066225165,0.1611218945415621,0.0,0.0,-0.9567595426195173,0.3755263479929554,-1.2414404984368965,0.3897598763794036,-0.19373029454381518,0.75757869376464,-0.6288828623415316,0.07364124714829308,-0.004693524338309317,0.34581701062380416,-0.004931247325468649,0.32877562569419555,-0.7973101118667429,0.4946720479540974,-3.3086588135745276,0.006692266607113461,-0.6343084290937447,-0.0021701321402393873,-0.1630016827729982,-0.1915601624035758
5,30.0,35.0,32.5,151,28.0,0.0,28.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,-1.01075030912104,0.42790093091671366,-1.3009526245626972,0.43119293985786583,-0.2409826859646526,0.8582803387214125,-0.6228355900717961,0.07359618247164595,0.010239003648075676,0.3929861226389443,-0.01446443707454424,0.32671624921369397,-0.8508952065494633,0.5591793467284442,-3.3018960312204353,0.005643335004561814,-0.9656775119804356,-0.5127189782919068,0.11478230543097234,0.2717362923272542
6,35.0,40.0,37.5,151,27.251655629139073,0.43540851387109425,27.251655629139073,0.43540851387109425,0.0,0.0,27.251655629139073,0.43540851387109425,0.0,0.0,-0.48382136889188077,0.5883323616179342,-1.681421998482511,0.6820899869973127,-0.3445170986191233,0.7976030950677498,-0.7961180664207514,0.24272682314573002,0.03631504109728833,0.4211490260512825,-0.0487823796328498,0.36781994931004025,-0.8365868219978383,0.5905882258260616,-3.2896856364098253,0.008126971718786565,-1.9778681353349619,-1.6617834780366467,1.1412813133371236,1.3172663794175234
7,40.0,45.0,42.5,151,30.24503311258278,1.216371036689154,24.039735099337747,1.0058548251909036,6.2052980132450335,0.45192743952544695,0.7483443708609272,0.43540851387109425,29.496688741721854,1.2955007895812876,-2.675524102397667,0.643613259874839,0.43307512813574756,0.7275474051871273,-0.2635527156205658,1.0728533285599668,2.135471540929654,0.5576127213648414,0.04243729420907673,0.8207003472117839,-0.1250428601641398,0.7934180261721385,-0.8353338966274949,0.5693963186508144,-3.548485469438213,0.010002228404511052,-1.2475085858990083,-1.638331281485932,0.41217468927151335,1.3747785658653662
8,45.0,50.0,47.5,151,33.556291390728475,1.2682573954809224,23.76158940397351,1.0501340185679362,9.794701986754967,0.45192743952544695,0.0,0.0,33.556291390728475,1.2682573954809224,-1.0320749245104577,0.6935067442166688,0.06072426320210057,0.8971878793786691,0.008380844784898828,1.1288387438261125,0.7002881916997428,0.5384877859938589,-0.12306113875660879,0.7767289645949143,0.03691470339660146,0.6260264602044171,-0.3209899388411528,0.6710683492319421,-3.4792679923241048,0.01092550546071992,-0.25073244622641233,-1.3583472139160984,-0.07025749261474046,1.3667280587009971
9,50.0,55.0,52.5,151,34.496688741721854,0.7382336774168503,26.642384105960264,0.5458250129962551,7.854304635761589,0.3539745940671917,0.0,0.0,34.496688741721854,0.7382336774168503,-1.3701077462859808,0.6728141167214088,1.052834877086848,0.6347719218166796,-0.8295777916547382,1.0146383852760845,1.5670172442688515,0.3582085559035611,-0.07906670294067143,0.7067979379024462,0.15144265599401024,0.7031909795355146,-0.382283553617957,0.5784600925591491,-3.542895157026116,0.007700722480913349,-1.7908002323715504,-2.5391540393480017,1.4085166787535934,1.7095762476932634
