pair_index,neighbor_atom_id,type,species,phase,x_A,y_A,z_A,distance_to_pair_center_A,distance_to_atom_i_A,distance_to_atom_j_A
1,232,1,Al,Fe4Al13_slab,11.812696718398156,5.043918468688817,103.44034142929424,1.011629801114918,0.0,2.0232596022298366
1,260,2,Fe,Fe4Al13_slab,11.033166837127697,3.471720723215815,102.43331271503068,1.0116298011149185,2.0232596022298366,0.0
1,302,1,Al,Fe4Al13_slab,9.881374211515752,5.735074298214437,101.71607410895092,2.4594550173969862,2.6797016248608165,2.638906378772149
1,241,1,Al,Fe4Al13_slab,13.356375522255274,2.5484418810850267,103.51760342157574,2.645274664990259,2.935356377717654,2.724963990822367
1,261,1,Al,Fe4Al13_slab,12.554312380920944,5.189872011380001,100.54222475378756,2.8076438587315873,2.995058679287112,2.973573824807609
1,236,2,Fe,Fe4Al13_slab,8.222848945090258,0.5219323509944931,102.35417103211637,3.097418951656182,2.4423749781420394,4.074972576738693
1,242,1,Al,Fe4Al13_slab,10.43667636194669,1.6243644482356163,101.57649894923696,3.123824316808556,4.575976577486938,2.1219462582600888
1,259,1,Al,Fe4Al13_slab,12.924651049285877,2.4338296377272512,100.85505910915771,3.1489455362013246,3.8383187483976346,2.6731657028009557
1,234,1,Al,Fe4Al13_slab,8.502569996570497,3.2357855766336074,101.96658070850715,3.2425984142166784,4.04947578484232,2.5840713087576215
1,286,1,Al,Fe4Al13_slab,14.507939656379998,5.514479413289179,102.56642379835831,3.351666166682378,2.8721932600340154,4.032942817817962
1,245,1,Al,Fe4Al13_slab,10.324214889212634,3.7377655777822483,99.79051544066856,3.3729678126946725,4.152450273933028,2.749139895034392
