bin_index,z_lo_A,z_hi_A,z_center_A,atom_count,Al_slab_atoms,Fe4Al13_slab_atoms,mean_displacement_A,max_displacement_A,mean_dx_A,mean_dy_A,mean_dz_A,mean_von_mises_strain_proxy,max_von_mises_strain_proxy,mean_strain_trace,mean_d2min_A2,max_d2min_A2,atoms_with_strain_fit
0,5.0,10.0,7.5,28,28,0,0.5776276845993105,0.7607401594054924,0.07966800077909972,-0.12593745460782851,-0.5391868507471187,0.04437794368523625,0.0845178850773362,0.010848124047934794,0.04011689441430535,0.10534148298519724,28
1,10.0,15.0,12.5,28,28,0,0.5125919732505353,0.6921063803933949,0.03734948853117077,-0.07054238933337419,-0.4893730104624495,0.03551677902904727,0.055670996141710956,0.008265100296398542,0.031648839981655665,0.07352924615009988,28
2,15.0,20.0,17.5,40,40,0,0.48502650027702343,0.6117039936034145,-0.11760558452281673,-0.04720057321384509,-0.4501222600685805,0.031510256219542544,0.04474181074004903,0.005434738028209274,0.027901112838335258,0.08550193314593368,40
3,20.0,25.0,22.5,30,30,0,0.45999525290119,0.6925484199688542,-0.13944620449661696,-0.1349249980352648,-0.4027017889797583,0.029243050629368782,0.04915668347876628,0.010896821987552019,0.03148171015091969,0.07057017607702083,30
4,25.0,30.0,27.5,28,28,0,0.4249548343504616,0.6101901291328001,-0.08818962735733885,-0.15506220191299688,-0.36464456460098493,0.03128164985943715,0.052076187543538585,0.0068451538263766066,0.03657922638392003,0.07595253341423747,28
5,30.0,35.0,32.5,28,28,0,0.3927522067176668,0.5497573514599796,-0.14165668936033746,-0.08649403016344727,-0.3271121699974277,0.03495156678176757,0.06654675623341695,0.010164534886658817,0.03770282776746187,0.08814503023131866,28
6,35.0,40.0,37.5,28,28,0,0.3855156763998303,0.7377080326413192,-0.06834454725858317,-0.1369508465833251,-0.26007614367962517,0.049691296504576474,0.08210353776113752,0.010944454485534886,0.10416378121901164,0.4845035958924451,28
7,40.0,45.0,42.5,29,0,29,0.3467496866442945,0.5908370685626173,-0.161016813470301,-0.1298249576038322,-0.23754787659190976,0.04133130017342365,0.07622014154912456,0.0065740756172924615,0.05719546245309499,0.2654690381120526,29
8,45.0,50.0,47.5,34,0,34,0.2847312927711233,0.5446735281591503,-0.02464380885821541,-0.0989513974467691,-0.18461181971286844,0.08992649981973665,0.500283666702387,-0.07277234818881562,0.3582348422444099,2.8722601819719924,34
9,50.0,55.0,52.5,35,0,35,0.2408161846100105,0.4928738562224603,0.1528728603592889,0.012048786259819708,-0.09920070999231041,0.07814251208965757,0.5270950432442102,-0.038544147342786494,0.27856011790923396,2.963446295632812,35
10,55.0,60.0,57.5,30,0,30,0.336266376278431,0.6195717427034229,0.2548666658337456,0.17110111743099968,0.010627671195162947,0.07202562773164006,0.42255628087388414,-0.03548957343805212,0.3190418516379935,3.1208438970636627,30
11,60.0,65.0,62.5,30,0,30,0.34371350955020097,0.6557123990062769,0.23989115282067092,0.19289489089743034,0.06414548643815791,0.10957104634534894,0.5454087749695947,-0.09440879406938606,0.6186262272068781,3.3200637146924663,30
12,65.0,70.0,67.5,34,0,34,0.24341712450885075,0.4382673247312454,0.1474112720157451,0.12000871486109332,0.08438428907756483,0.04943973704463896,0.6377704294414813,-0.016983159532772157,0.14347036330919485,3.862585417115329,34
13,70.0,75.0,72.5,33,0,33,0.27270464078649137,0.4863441122214492,0.024483926109952443,0.05460093778817741,0.16613315835011183,0.1263435467962384,0.638297601898334,-0.09571951286308855,0.6702721729244536,3.6831606287246315,33
14,75.0,80.0,77.5,31,0,31,0.30333405728308965,0.5989596100362902,0.019820515068106222,0.03383797275193406,0.2501585262956116,0.10570910701819493,0.5246534865408499,-0.08861616049763348,0.49205095621655603,3.1172664322004766,31
15,80.0,85.0,82.5,31,0,31,0.41382146731627817,0.6206242756011957,0.09568801896799341,0.1819354679415956,0.3333868835802591,0.05168743412834592,0.4602089917155597,-0.0051114850795193675,0.14785708235881106,3.3897413276114676,31
16,85.0,90.0,87.5,31,0,31,0.43775050778933233,0.5728118113119497,0.015289962673865119,0.1542087295782719,0.38648204621870996,0.1293471055585487,0.6268752676589974,-0.11681849076112236,0.7441702214552082,4.620362903821246,31
17,90.0,95.0,92.5,35,0,35,0.5018822469401869,0.664753757218252,-0.038641226262407215,0.1334758022468004,0.46918228774139104,0.05556593503154329,0.40891213522610953,-0.015829209838121718,0.19567441523256454,3.0657797514065965,35
18,95.0,100.0,97.5,30,0,30,0.6036086905633982,0.9073473567920484,-0.19888876595981125,-0.09957600051596655,0.5001651167916866,0.12469331332294219,0.5090851065736033,-0.0884127795440528,0.6220473028249164,2.934666142348616,30
19,100.0,105.0,102.5,25,0,25,0.6442861178383743,0.823556396003813,-0.2382875341044958,-0.22446803416434574,0.5320561844815092,0.05414355552659282,0.13086080641418663,-0.0085967827504557,0.0444425780153444,0.10939435890525716,25
