pair_index,neighbor_atom_id,type,species,phase,x_A,y_A,z_A,distance_to_pair_center_A,distance_to_atom_i_A,distance_to_atom_j_A
1,232,1,Al,Fe4Al13_slab,11.751900335303445,5.239434491053698,103.44147214545163,1.013474325115073,0.0,2.026948650230154
1,260,2,Fe,Fe4Al13_slab,10.853973594239598,3.7715575033962807,102.37021795178045,1.0134743251150815,2.026948650230154,0.0
1,302,1,Al,Fe4Al13_slab,9.75664053962156,5.998891036767081,101.67582853251946,2.4767321228648957,2.770439182689194,2.578241875235335
1,241,1,Al,Fe4Al13_slab,13.239527402889312,2.822311729628238,103.39064159251879,2.61122949827749,2.838679355109807,2.7628244460257227
1,261,1,Al,Fe4Al13_slab,12.385548753467315,5.326920118783747,100.58648432939225,2.68816294490866,2.925768186775636,2.818968068167227
1,236,2,Fe,Fe4Al13_slab,8.158474033922452,0.6793384770892926,102.05708946024403,3.089600545869609,2.5566999365361753,4.114071686120301
1,242,1,Al,Fe4Al13_slab,10.430337296918067,1.806754997494558,101.58942246740322,3.12691566504295,4.593430983405406,2.1562834201537258
1,259,1,Al,Fe4Al13_slab,12.791525638336596,2.78210014677466,100.62087536201366,3.225999994591975,3.8826639134775296,2.791654219370489
1,286,1,Al,Fe4Al13_slab,14.332140534742159,5.824134186801991,102.55981316509265,3.321839702295779,2.7886978643544937,4.043100623553244
1,245,1,Al,Fe4Al13_slab,10.214220689120218,3.9009112992067485,99.82337135194247,3.3245255115024013,4.1529214273075175,2.6291526747614955
1,234,1,Al,Fe4Al13_slab,8.324281454688602,3.3425529199156983,101.91826624098253,3.346660596788352,4.203199628030987,2.60531142139411
